date,value
1839,12.020
1840,24.265
1841,21.379
1842,22.192
1843,24.488
1844,24.358
1845,24.430
1846,25.863
1847,24.736
1848,24.406
1849,24.700
1850,24.193
1851,25.022
1852,24.703
1853,24.885
1854,24.454
1855,24.829
1856,24.359
1857,24.002
1858,24.910
1859,24.889
1860,24.892
1861,23.856
1862,23.578
1863,24.043
1864,24.761
1865,24.991
1866,24.578
1867,24.899
1868,24.807
1869,25.141
1870,24.966
1871,24.674
1872,24.842
1873,25.158
1874,24.842
1875,24.486
1876,24.818
1877,25.356
1878,25.269
1879,25.331
1880,24.382
1881,25.396
1882,24.374
1883,25.138
1884,24.576
1885,24.732
1886,24.757
1887,24.775
1888,25.151
1889,25.325
1890,24.757
1891,25.113
1892,25.251
1893,24.934
1894,24.396
1895,24.639
1896,24.485
1897,24.546
1898,24.409
1899,25.069
1900,25.097
1901,25.791
1902,25.475
1903,24.332
1904,24.847
1905,24.496
1906,24.436
1907,23.915
1908,24.767
1909,25.360
1910,24.457
1911,23.696
1912,25.107
1913,24.669
1914,24.800
1915,25.372
1916,24.679
1917,25.169
1918,24.505
1919,25.209
1920,24.437
1921,24.742
1922,25.270
1923,24.783
1924,25.482
1925,24.842
1926,24.927
1927,25.055
1928,25.024
1929,25.085
1930,25.268
1931,25.053
1932,24.714
1933,24.450
1934,24.584
1935,25.485
1936,24.864
1937,25.087
1938,25.004
1939,24.958
1940,25.497
1941,25.244
1942,25.530
1943,24.836
1944,25.259
1945,24.771
1946,25.125
1947,26.016
1948,24.509
1949,24.635
1950,24.618
1951,25.566
1952,25.493
1953,24.896
1954,25.461
1955,25.442
1956,24.726
1957,24.712
1958,25.379
1959,24.555
1960,25.697
1961,24.981
1962,26.154
1963,25.460
1964,24.548
1965,25.541
1966,26.151
1967,24.446
1968,25.330
1969,25.682
1970,25.657
1971,25.066
1972,24.369
1973,25.406
1974,24.997
1975,25.009
1976,24.965
1977,25.572
1978,25.473
1979,26.171
1980,25.671
1981,25.693
1982,24.723
1983,24.796
1984,25.123
1985,25.358
1986,25.443
1987,26.020
1988,25.596
1989,25.300
1990,25.759
1991,25.349
1992,24.300
1993,25.362
1994,25.842
1995,25.492
1996,26.328
1997,25.316
1998,26.671
1999,26.837
2000,26.376
2001,26.655
2002,26.387
2003,26.497
2004,26.155
2005,25.988
2006,26.315
2007,26.331
2008,26.267
2009,26.453
2010,27.639
2011,26.088
2012,26.676
2013,27.273
