date,value
1849,24.825
1850,24.819
1851,24.875
1854,24.457
1855,25.167
1856,24.815
1857,24.583
1858,24.711
1859,25.217
1860,24.760
1861,24.748
1862,24.443
1863,24.772
1864,24.879
1865,25.020
1866,25.302
1868,24.825
1869,25.006
1870,24.964
1873,24.967
1874,24.797
1875,24.306
1876,24.272
1877,24.972
1878,25.119
1879,24.715
1880,25.364
1881,25.367
1882,25.018
1883,25.571
1884,25.875
1885,24.647
1886,24.680
1887,24.402
1888,24.449
1889,24.079
1890,24.382
1891,24.659
1892,24.795
1893,24.684
1894,24.534
1895,24.657
1896,25.049
1897,25.130
1898,24.846
1899,25.532
1900,25.333
1901,25.284
1902,25.026
1903,24.993
1904,24.632
1905,25.128
1906,25.276
1907,24.923
1908,24.949
1909,24.800
1910,25.255
1911,24.840
1912,25.569
1913,25.583
1914,25.455
1915,25.551
1916,25.296
1917,25.279
1918,25.096
1919,25.284
1920,25.416
1921,25.375
1922,25.271
1923,25.091
1924,25.076
1925,25.139
1926,25.656
1927,25.519
1928,25.304
1929,25.505
1930,25.495
1931,25.462
1932,25.073
1933,25.452
1934,25.492
1935,25.298
1936,25.390
1937,25.676
1938,25.554
1939,25.315
1940,25.910
1941,25.903
1942,25.450
1943,25.234
1944,25.586
1945,25.656
1946,25.529
1947,25.682
1948,25.329
1949,25.479
1950,25.319
1951,25.453
1952,25.506
1953,25.561
1954,25.221
1955,25.301
1956,25.170
1957,25.480
1958,25.569
1959,25.585
1960,25.617
1961,25.529
1962,25.439
1963,25.729
1964,25.414
1965,25.299
1966,25.584
1967,25.296
1968,25.525
1969,25.726
1970,25.781
1971,25.277
1972,25.576
1973,25.960
1974,25.492
1975,25.332
1976,25.161
1977,25.724
1978,25.625
1979,25.898
1980,25.795
1981,25.770
1982,25.542
1983,25.911
1984,25.783
1985,25.615
1986,25.480
1987,26.328
1988,25.954
1989,25.839
1990,25.882
1991,25.845
1992,25.656
1993,25.833
1994,25.721
1995,25.949
1996,25.996
1997,25.991
1998,26.460
1999,25.890
2000,25.860
2001,26.153
2002,26.236
2003,26.387
2004,26.284
2005,26.291
2006,26.183
2007,26.290
2008,26.297
2009,26.494
2010,26.533
2011,26.241
2012,25.996
2013,26.314
