date,value
1743,3.415
1744,13.038
1745,4.469
1750,14.054
1751,14.940
1752,6.585
1753,13.329
1754,13.189
1755,13.395
1756,11.973
1757,13.760
1758,11.710
1759,12.467
1760,13.705
1761,13.813
1762,12.553
1763,13.422
1764,10.385
1765,12.843
1766,13.335
1767,13.156
1768,13.417
1769,12.556
1770,12.547
1771,13.760
1772,12.113
1773,12.186
1774,15.523
1775,12.514
1776,11.327
1777,12.088
1778,11.868
1779,11.217
1780,13.391
1781,13.586
1782,12.854
1783,11.897
1784,12.873
1785,13.625
1786,12.375
1787,12.870
1788,13.215
1789,15.258
1790,11.286
1791,11.857
1792,12.727
1793,12.758
1794,13.496
1795,13.132
1796,12.801
1797,12.501
1798,13.618
1799,14.575
1800,14.618
1801,12.557
1802,13.822
1803,13.311
1804,14.425
1805,11.823
1806,11.659
1807,11.961
1808,14.233
1809,13.373
1810,10.502
1811,13.160
1812,12.273
1813,13.818
1814,10.748
1815,12.143
1816,11.980
1817,10.709
1818,12.793
1819,12.944
1820,12.482
1821,11.138
1822,13.170
1823,11.984
1824,11.358
1825,12.639
1826,11.891
1827,13.281
1828,12.832
1829,13.502
1830,12.748
1831,11.975
1832,13.635
1833,12.394
1834,13.282
1835,11.906
1836,11.592
1837,11.984
1838,12.051
1839,14.428
1840,13.479
1841,12.590
1842,10.834
1843,9.961
1844,12.125
1845,12.630
1846,14.966
1847,14.205
1848,14.241
1849,12.809
1850,14.594
1851,14.168
1852,10.844
1853,11.661
1854,12.322
1855,13.225
1856,13.244
1857,12.114
1858,13.578
1859,13.384
1860,14.168
1861,12.308
1862,13.102
1863,13.400
1864,12.206
1865,12.502
1866,12.847
1867,11.987
1868,11.740
1869,11.095
1870,12.126
1871,12.031
1872,12.785
1873,13.080
1874,12.725
1875,13.382
1876,14.224
1877,12.066
1878,12.046
1879,11.369
1880,14.006
1881,11.492
1882,13.240
1883,14.475
1884,9.516
1885,13.123
1886,12.778
1887,12.878
1888,12.373
1889,14.629
1890,13.424
1891,12.855
1892,13.406
1893,11.979
1894,12.425
1895,11.632
1896,13.002
1897,15.033
1898,11.233
1899,11.417
1900,10.611
1901,11.774
1902,11.468
1903,11.944
1904,10.767
1905,13.326
1906,13.182
1907,13.863
1908,13.442
1909,12.015
1910,10.718
1911,12.681
1912,10.502
1913,11.540
1914,12.292
1915,11.029
1916,10.548
1917,13.067
1918,13.053
1919,12.203
1920,14.287
1921,11.582
1922,12.713
1923,13.939
1924,13.163
1925,12.092
1926,13.120
1927,14.069
1928,14.177
1929,14.517
1930,13.584
1931,12.319
1932,13.364
1933,11.491
1934,14.096
1935,11.618
1936,12.386
1937,12.773
1938,14.174
1939,12.013
1940,13.763
1941,12.972
1942,13.697
1943,13.147
1944,12.919
1945,12.632
1946,13.911
1947,12.027
1948,11.697
1949,11.479
1950,12.511
1951,12.566
1952,13.115
1953,14.374
1954,12.236
1955,11.144
1956,15.407
1957,12.162
1958,10.649
1959,12.569
1960,12.369
1961,13.792
1962,13.332
1963,15.691
1964,13.026
1965,10.844
1966,12.857
1967,14.091
1968,13.619
1969,14.418
1970,13.156
1971,11.381
1972,13.625
1973,11.291
1974,10.633
1975,12.642
1976,10.844
1977,11.979
1978,12.429
1979,12.089
1980,11.833
1981,11.818
1982,12.031
1983,12.303
1984,12.830
1985,12.474
1986,13.318
1987,14.146
1988,14.192
1989,10.511
1990,13.090
1991,13.062
1992,13.652
1993,12.483
1994,13.068
1995,12.104
1996,14.938
1997,12.349
1998,12.018
1999,11.692
2000,12.036
2001,12.645
2002,13.570
2003,13.640
2004,12.394
2005,11.042
2006,12.572
2007,12.478
2008,11.922
2009,13.180
2010,14.695
2011,12.455
2012,15.716
2013,14.042
