date,value
1835,18.993
1836,19.587
1837,19.671
1838,19.337
1839,19.786
1840,19.883
1841,19.905
1842,20.201
1843,20.273
1844,19.840
1845,19.777
1846,20.542
1847,19.952
1848,19.957
1849,20.523
1850,20.307
1851,20.242
1852,20.232
1853,20.052
1854,20.060
1855,20.001
1856,19.826
1857,20.137
1858,20.361
1859,20.477
1860,20.113
1861,20.723
1862,20.545
1863,20.444
1864,20.303
1865,20.457
1866,20.567
1867,21.294
1868,20.471
1869,20.557
1870,20.438
1871,20.514
1872,20.273
1873,20.324
1874,20.437
1875,20.296
1876,20.235
1877,20.498
1878,20.636
1879,20.613
1880,20.063
1881,20.331
1882,20.170
1883,20.118
1884,20.126
1885,20.310
1886,20.151
1887,19.919
1888,20.045
1889,20.282
1890,20.238
1891,19.982
1892,20.195
1893,20.147
1894,20.244
1895,20.183
1896,20.774
1897,20.503
1898,20.061
1899,20.097
1900,20.522
1901,20.285
1902,20.582
1903,19.974
1904,20.091
1905,20.235
1906,20.235
1907,20.556
1908,20.546
1909,20.571
1910,20.430
1911,20.621
1912,19.987
1913,19.898
1914,20.212
1915,20.359
1916,20.552
1917,20.441
1918,20.470
1919,20.319
1920,20.420
1921,20.848
1922,20.773
1923,20.513
1924,20.498
1925,20.600
1926,20.600
1927,20.927
1928,20.770
1929,20.589
1930,20.614
1931,20.471
1932,20.584
1933,20.913
1934,20.876
1935,20.556
1936,20.696
1937,20.914
1938,20.742
1939,20.639
1940,20.755
1941,20.762
1942,20.744
1943,20.750
1944,20.496
1945,21.121
1946,21.124
1947,20.742
1948,21.052
1949,20.916
1950,21.257
1951,21.118
1952,20.887
1953,21.072
1954,21.099
1955,20.634
1956,20.724
1957,21.105
1958,20.745
1959,20.751
1960,20.747
1961,20.724
1962,20.993
1963,20.879
1964,20.586
1965,20.735
1966,20.390
1967,20.683
1968,20.316
1969,20.959
1970,20.490
1971,20.640
1972,20.975
1973,20.496
1974,20.632
1975,20.449
1976,20.146
1977,20.841
1978,20.756
1979,20.569
1980,21.036
1981,20.754
1982,21.051
1983,20.675
1984,20.512
1985,20.604
1986,20.851
1987,20.455
1988,20.736
1989,20.965
1990,20.961
1991,20.840
1992,20.650
1993,20.939
1994,21.326
1995,21.371
1996,21.132
1997,20.899
1998,21.532
1999,21.129
2000,21.232
2001,21.133
2002,21.225
2003,21.329
2004,20.925
2005,21.414
2006,21.418
2007,21.079
2008,21.085
2009,21.546
2010,20.853
2011,21.599
2012,21.652
2013,22.219
