date,value
1849,27.916
1850,27.957
1851,28.202
1856,27.821
1857,27.928
1858,27.962
1859,28.188
1860,27.957
1861,27.842
1862,27.620
1863,27.661
1864,28.132
1865,28.096
1866,27.330
1868,27.357
1869,28.140
1870,28.270
1873,29.357
1874,27.988
1875,27.635
1876,27.895
1877,28.244
1878,28.649
1879,27.918
1880,27.882
1881,28.685
1882,28.015
1883,28.288
1884,27.825
1885,27.543
1886,27.625
1887,27.742
1888,27.733
1889,27.479
1890,27.219
1891,27.606
1892,27.993
1893,28.142
1894,27.698
1895,28.330
1896,27.813
1897,28.406
1898,28.030
1899,28.487
1900,28.256
1901,28.143
1902,28.433
1903,27.869
1904,27.536
1905,27.952
1906,27.983
1907,27.422
1908,28.003
1909,27.854
1910,28.440
1911,27.798
1912,28.570
1913,28.755
1914,28.607
1915,28.494
1916,27.953
1917,28.094
1918,27.921
1919,28.486
1920,28.309
1921,28.234
1922,28.497
1923,28.336
1924,28.752
1925,28.729
1926,28.821
1927,28.314
1928,28.254
1929,28.369
1930,28.709
1931,29.241
1932,28.892
1933,28.275
1934,27.972
1935,28.338
1936,28.240
1937,28.953
1938,28.518
1939,28.340
1940,28.711
1941,29.115
1942,28.804
1943,28.076
1944,28.650
1945,28.504
1946,28.375
1947,28.844
1948,28.346
1949,28.740
1950,27.896
1951,28.683
1952,28.136
1953,28.339
1954,28.035
1955,28.629
1956,28.365
1957,28.151
1958,28.786
1959,28.663
1960,28.474
1961,28.329
1962,28.404
1963,28.689
1964,28.442
1965,28.189
1966,28.754
1967,28.203
1968,28.540
1969,29.156
1970,28.893
1971,28.506
1972,28.558
1973,28.802
1974,28.085
1975,28.170
1976,27.869
1977,28.820
1978,28.874
1979,28.962
1980,29.141
1981,28.912
1982,28.440
1983,29.277
1984,28.858
1985,28.794
1986,28.519
1987,29.638
1988,28.781
1989,28.773
1990,29.321
1991,28.856
1992,28.566
1993,28.967
1994,28.376
1995,28.904
1996,29.253
1997,29.134
1998,29.493
1999,28.793
2000,29.150
2001,29.311
2002,29.427
2003,29.429
2004,29.426
2005,29.526
2006,29.038
2007,29.202
2008,28.950
2009,29.441
2010,30.127
2011,29.437
2012,28.602
2013,29.942
