date,value
1850,22.636
1859,23.662
1864,22.973
1875,22.280
1876,22.924
1877,23.474
1878,23.580
1880,22.888
1881,23.473
1882,22.963
1883,23.022
1884,22.753
1885,22.954
1886,23.039
1887,22.832
1888,23.163
1889,23.552
1890,22.872
1891,22.967
1892,23.397
1893,22.876
1894,23.179
1895,23.364
1896,23.545
1897,23.513
1898,23.260
1899,23.101
1900,23.764
1901,23.200
1902,23.527
1903,23.537
1904,22.627
1905,23.430
1906,23.160
1907,22.807
1908,23.600
1909,23.644
1910,22.807
1911,22.959
1912,23.723
1913,23.524
1914,23.651
1915,23.615
1916,23.430
1917,23.311
1918,23.161
1919,23.456
1920,23.417
1921,23.276
1922,23.847
1923,23.743
1924,23.339
1925,23.340
1926,23.566
1927,23.176
1928,23.521
1929,23.557
1930,23.129
1931,23.731
1932,23.482
1933,23.332
1934,23.553
1935,22.988
1936,23.212
1937,23.479
1938,23.586
1939,23.213
1940,23.704
1941,24.093
1942,23.817
1943,23.433
1944,23.673
1945,23.190
1946,23.478
1947,23.675
1948,23.700
1949,23.798
1950,23.407
1951,23.542
1952,23.732
1953,23.570
1954,23.740
1955,23.473
1956,23.383
1957,23.973
1958,23.832
1959,23.767
1960,23.543
1961,23.930
1962,23.781
1963,23.281
1964,23.437
1965,23.203
1966,23.885
1967,23.782
1968,23.418
1969,24.005
1970,23.956
1971,23.551
1972,23.569
1973,23.741
1974,23.346
1975,23.423
1976,23.494
1977,23.997
1978,23.775
1979,23.745
1980,23.752
1981,23.426
1982,23.763
1983,24.564
1984,23.858
1985,23.678
1986,23.777
1987,24.488
1988,24.085
1989,23.796
1990,24.201
1991,24.133
1992,24.743
1993,24.248
1994,24.042
1995,24.477
1996,24.090
1997,24.152
1998,24.623
1999,24.082
2000,23.920
2001,24.251
2002,24.428
2003,24.423
2004,24.073
2005,24.834
2006,24.303
2007,24.224
2008,24.031
2009,24.081
2010,24.606
2011,24.302
2012,24.010
2013,23.488
