date,value
1850,20.499
1859,21.461
1864,20.783
1875,20.395
1876,20.742
1877,21.315
1878,21.436
1880,20.760
1881,22.127
1882,19.790
1883,20.545
1884,20.777
1885,20.771
1886,20.831
1887,20.666
1888,20.932
1889,21.316
1890,20.630
1891,20.741
1892,21.194
1893,20.687
1894,21.099
1895,21.215
1896,21.334
1897,21.377
1898,21.230
1899,20.973
1900,21.607
1901,21.136
1902,21.505
1903,21.435
1904,20.419
1905,21.279
1906,21.033
1907,20.597
1908,21.443
1909,21.317
1910,20.712
1911,20.772
1912,21.547
1913,21.214
1914,21.537
1915,21.569
1916,21.225
1917,21.219
1918,21.036
1919,21.431
1920,21.317
1921,21.170
1922,21.737
1923,21.619
1924,21.527
1925,21.149
1926,21.365
1927,20.956
1928,21.224
1929,21.333
1930,20.992
1931,21.530
1932,21.267
1933,21.199
1934,21.356
1935,21.047
1936,20.960
1937,21.279
1938,21.462
1939,21.091
1940,21.350
1941,21.802
1942,21.636
1943,21.315
1944,21.480
1945,21.082
1946,21.218
1947,21.310
1948,21.523
1949,21.829
1950,21.011
1951,21.446
1952,21.364
1953,21.476
1954,21.576
1955,21.419
1956,21.030
1957,21.708
1958,21.742
1959,21.695
1960,21.422
1961,21.618
1962,21.423
1963,21.112
1964,21.246
1965,20.983
1966,21.692
1967,21.544
1968,21.240
1969,21.778
1970,21.631
1971,21.261
1972,21.480
1973,21.528
1974,21.060
1975,21.298
1976,21.341
1977,21.838
1978,21.593
1979,21.572
1980,21.635
1981,21.292
1982,21.539
1983,22.460
1984,21.622
1985,21.308
1986,21.515
1987,22.328
1988,21.973
1989,21.537
1990,22.280
1991,21.889
1992,22.390
1993,21.940
1994,21.980
1995,22.302
1996,21.963
1997,22.035
1998,22.378
1999,21.689
2000,21.714
2001,21.999
2002,22.224
2003,22.234
2004,21.866
2005,22.811
2006,22.102
2007,22.098
2008,21.823
2009,22.015
2010,22.601
2011,22.313
2012,21.887
2013,21.269
