date,value
1825,25.713
1839,25.041
1840,25.172
1841,25.276
1842,25.419
1843,25.501
1844,25.012
1845,24.910
1846,25.738
1847,25.165
1850,25.236
1851,25.405
1852,25.286
1853,25.468
1854,25.359
1855,25.394
1856,25.289
1858,25.417
1859,25.514
1860,25.245
1861,25.175
1863,25.373
1864,25.203
1865,25.469
1866,25.432
1867,25.443
1868,25.536
1869,25.385
1870,25.078
1871,25.050
1872,25.416
1873,25.573
1874,25.494
1875,24.998
1876,25.097
1877,25.663
1878,25.959
1879,25.222
1880,25.336
1881,25.465
1882,25.518
1883,25.401
1884,25.087
1885,25.509
1886,25.298
1887,24.869
1888,25.583
1889,25.705
1890,25.124
1891,25.396
1892,25.141
1893,25.049
1894,25.225
1895,25.409
1896,25.674
1897,25.832
1898,25.453
1899,25.309
1900,25.785
1901,25.481
1902,25.409
1903,25.544
1904,25.199
1905,25.889
1906,25.724
1907,25.537
1908,25.521
1909,25.533
1910,25.434
1911,25.579
1912,25.733
1913,25.411
1914,25.875
1915,25.858
1916,25.253
1917,25.196
1918,25.265
1919,25.781
1920,25.654
1921,25.517
1922,25.562
1923,25.553
1924,25.642
1925,25.432
1926,25.883
1927,25.785
1928,25.763
1929,25.765
1930,26.027
1931,26.140
1932,25.750
1933,25.761
1934,25.563
1935,25.796
1936,25.832
1937,26.037
1938,25.870
1939,25.835
1940,26.056
1941,26.539
1942,26.190
1943,25.700
1944,25.832
1945,25.905
1946,26.235
1947,26.269
1948,26.029
1949,25.980
1950,25.910
1951,26.190
1952,26.171
1953,26.190
1954,25.992
1955,25.872
1956,25.796
1957,26.158
1958,26.367
1959,26.127
1960,26.262
1961,26.045
1962,25.950
1963,26.022
1964,26.036
1965,25.919
1966,26.175
1967,25.932
1968,26.085
1969,26.318
1970,26.193
1971,25.849
1972,26.321
1973,26.354
1974,25.983
1975,25.989
1976,25.854
1977,26.092
1978,26.193
1979,26.257
1980,26.210
1981,26.206
1982,26.180
1983,26.534
1984,25.903
1985,26.125
1986,26.187
1987,26.515
1988,26.357
1989,26.106
1990,26.419
1991,26.332
1992,26.287
1993,26.215
1994,26.277
1995,26.335
1996,26.239
1997,26.556
1998,27.055
1999,26.249
2000,26.371
2001,26.500
2002,26.746
2003,26.577
2004,26.576
2005,26.650
2006,26.578
2007,26.496
2008,26.254
2009,26.642
2010,26.807
2011,26.441
2012,26.623
2013,26.974
