date,value
1857,19.664
1858,19.968
1859,20.046
1860,20.212
1861,19.977
1862,19.592
1863,20.001
1864,19.994
1865,20.313
1866,20.241
1867,20.338
1868,20.005
1869,20.341
1870,20.024
1871,20.115
1872,20.112
1873,19.480
1874,20.140
1875,19.858
1876,19.866
1877,20.344
1878,20.267
1879,19.668
1880,19.556
1881,19.870
1882,20.026
1883,19.973
1884,19.751
1885,20.272
1886,20.333
1887,20.030
1888,19.670
1889,20.428
1890,19.611
1891,20.155
1892,19.516
1893,20.209
1894,20.080
1895,20.096
1896,20.458
1897,20.228
1898,19.716
1899,20.192
1900,20.608
1901,20.358
1902,20.108
1903,19.912
1904,19.635
1905,19.987
1906,19.823
1907,19.659
1908,19.950
1909,20.220
1910,20.307
1911,20.065
1912,20.101
1913,20.568
1914,20.564
1915,20.379
1916,20.537
1917,20.164
1918,19.832
1919,20.325
1920,20.559
1921,20.539
1922,21.034
1923,20.505
1924,20.464
1925,20.101
1926,20.807
1927,21.075
1928,20.551
1929,20.792
1930,20.393
1931,20.692
1932,20.375
1933,20.924
1934,20.301
1935,20.089
1936,20.222
1937,20.332
1938,20.220
1939,20.009
1940,20.574
1941,21.276
1942,20.659
1943,20.411
1944,20.807
1945,20.703
1946,20.906
1947,20.740
1948,20.468
1949,20.836
1950,20.434
1951,20.620
1952,20.987
1953,20.370
1954,20.184
1955,20.057
1956,20.220
1957,20.592
1958,20.584
1959,20.692
1960,20.736
1961,20.792
1962,20.749
1963,20.563
1964,20.497
1965,20.568
1966,20.795
1967,20.374
1968,20.421
1969,20.837
1970,21.006
1971,20.568
1972,20.844
1973,21.014
1974,19.930
1975,20.476
1976,19.949
1977,20.517
1978,20.413
1979,20.885
1980,20.661
1981,20.674
1982,20.858
1983,21.213
1984,21.249
1985,20.794
1986,20.996
1987,21.485
1988,21.057
1989,20.721
1990,21.337
1991,20.781
1992,21.337
1993,21.248
1994,20.951
1995,21.600
1996,20.829
1997,20.818
1998,21.677
1999,21.466
2000,21.018
2001,21.237
2002,21.548
2003,22.041
2004,21.644
2005,21.474
2006,20.382
2007,21.181
2008,21.021
2009,20.976
2010,21.392
2011,20.350
2012,20.795
2013,21.266
