date,value
1819,28.360
1821,27.681
1856,25.774
1857,27.202
1858,27.135
1859,27.727
1860,26.826
1861,26.270
1862,24.004
1873,28.403
1874,26.514
1875,26.768
1876,26.864
1877,27.237
1878,27.706
1879,26.973
1880,26.965
1881,27.534
1882,26.766
1883,26.963
1884,26.465
1885,26.584
1886,26.483
1887,26.584
1888,26.796
1889,26.796
1890,26.083
1891,26.508
1892,26.934
1893,26.878
1894,26.876
1895,27.340
1896,26.821
1897,27.263
1898,26.906
1899,27.193
1900,27.216
1901,27.238
1902,27.149
1903,26.700
1904,26.484
1905,26.658
1906,26.975
1907,26.478
1908,26.894
1909,27.110
1910,26.744
1911,26.808
1912,26.894
1913,27.532
1914,28.084
1915,27.664
1916,27.047
1917,27.510
1918,27.309
1919,27.623
1920,26.864
1921,27.242
1922,27.475
1923,27.118
1924,27.740
1925,27.572
1926,27.833
1927,27.556
1928,27.784
1929,27.225
1930,27.983
1931,28.727
1932,27.915
1933,27.893
1934,27.403
1935,27.514
1936,27.337
1937,27.474
1938,27.531
1939,27.635
1940,27.849
1941,28.548
1942,28.268
1943,27.432
1944,27.411
1945,27.141
1946,27.465
1947,27.823
1948,27.066
1949,27.467
1950,26.735
1951,27.639
1952,27.338
1953,27.338
1954,27.361
1955,27.399
1956,27.310
1957,27.410
1958,27.749
1959,27.396
1960,27.612
1961,26.541
1962,27.514
1963,27.955
1964,27.408
1965,27.167
1966,27.411
1967,27.296
1968,27.501
1969,28.499
1970,27.444
1971,27.463
1972,27.817
1973,27.856
1974,27.112
1975,27.196
1976,27.622
1977,27.094
1978,27.686
1979,27.886
1980,27.805
1981,27.554
1982,27.589
1983,27.539
1984,27.927
1985,27.660
1986,27.921
1987,28.231
1988,27.787
1989,27.166
1990,28.048
1991,27.859
1992,27.185
1993,27.753
1994,27.401
1995,27.895
1996,28.128
1997,28.131
1998,28.328
1999,28.269
2000,27.976
2001,28.118
2002,28.150
2003,28.302
2004,28.372
2005,28.636
2006,28.291
2007,28.412
2008,27.901
2009,28.850
2010,29.300
2011,28.487
2012,28.073
2013,29.231
