date,value
1856,27.156
1857,25.596
1858,26.429
1859,26.144
1860,26.067
1861,26.033
1862,26.722
1873,26.680
1874,26.286
1875,26.027
1876,26.188
1877,26.558
1878,26.620
1879,25.980
1880,26.180
1881,26.545
1882,26.152
1883,26.467
1884,26.603
1885,24.794
1886,25.954
1887,25.480
1888,25.790
1889,25.887
1890,25.131
1891,25.662
1892,25.874
1893,25.856
1894,26.012
1895,26.243
1896,26.088
1897,26.519
1898,26.053
1899,26.440
1900,26.535
1901,26.547
1902,26.215
1903,26.057
1904,25.632
1905,26.040
1906,26.271
1907,25.936
1908,26.204
1909,26.310
1910,26.176
1911,26.072
1912,26.239
1913,26.829
1914,27.164
1915,26.913
1916,26.479
1917,27.135
1918,26.570
1919,27.063
1920,26.348
1921,26.778
1922,26.888
1923,26.697
1924,26.996
1925,26.592
1926,27.095
1927,26.950
1928,26.966
1929,26.631
1930,27.034
1931,27.487
1932,26.868
1933,27.204
1934,26.812
1935,27.043
1936,26.978
1937,26.982
1938,27.196
1939,26.728
1940,27.077
1941,27.619
1942,27.425
1943,26.828
1944,27.033
1945,26.869
1946,26.832
1947,27.146
1948,26.618
1949,27.069
1950,26.672
1951,26.754
1952,26.701
1953,26.717
1954,26.617
1955,26.457
1956,26.568
1957,26.646
1958,26.980
1959,26.806
1960,26.817
1961,26.369
1962,26.689
1963,27.077
1964,26.631
1965,26.667
1966,26.779
1967,26.595
1968,26.804
1969,27.215
1970,26.947
1971,26.796
1972,26.886
1973,27.472
1974,26.593
1975,26.509
1976,26.810
1977,26.887
1978,26.783
1979,27.093
1980,27.064
1981,26.803
1982,26.870
1983,27.028
1984,27.079
1985,26.959
1986,27.067
1987,27.613
1988,27.038
1989,26.376
1990,27.366
1991,27.043
1992,26.664
1993,27.103
1994,26.819
1995,27.165
1996,27.195
1997,27.145
1998,27.612
1999,27.329
2000,27.034
2001,27.095
2002,27.464
2003,27.429
2004,27.570
2005,27.725
2006,27.795
2007,27.690
2008,27.326
2009,27.903
2010,28.004
2011,27.622
2012,27.408
2013,28.006
