date,value
1743,7.606
1744,10.287
1745,2.926
1750,9.995
1751,11.012
1752,5.988
1753,9.945
1754,8.706
1755,10.628
1756,10.005
1757,9.943
1758,9.626
1759,10.498
1760,10.074
1761,10.293
1762,9.375
1763,9.544
1764,9.056
1765,9.717
1766,9.712
1767,9.622
1768,9.530
1769,8.788
1770,8.801
1771,8.960
1772,9.278
1773,9.523
1774,8.844
1775,9.903
1776,10.094
1777,9.543
1778,9.538
1779,11.509
1780,10.211
1781,10.106
1782,9.161
1783,10.693
1784,9.793
1785,9.751
1786,7.951
1787,9.190
1788,9.943
1789,10.607
1790,9.174
1791,9.317
1792,9.108
1793,9.200
1794,9.738
1795,10.116
1796,10.060
1797,9.551
1798,10.402
1799,10.166
1800,9.694
1801,9.383
1802,9.807
1803,10.091
1804,9.511
1805,8.325
1806,9.573
1807,9.027
1808,9.244
1809,9.515
1810,9.351
1811,11.155
1812,8.883
1813,9.628
1814,9.851
1815,9.700
1816,7.751
1817,8.913
1818,9.441
1819,9.535
1820,9.084
1821,9.271
1822,11.190
1823,9.601
1824,9.474
1825,9.727
1826,10.855
1827,11.152
1828,9.586
1829,10.360
1830,10.409
1831,10.704
1832,8.652
1833,10.077
1834,10.475
1835,9.099
1836,9.004
1837,8.459
1838,9.879
1839,8.879
1840,9.263
1841,11.201
1842,10.065
1843,9.186
1844,9.163
1845,10.100
1846,11.339
1847,9.464
1848,10.289
1849,8.732
1850,9.513
1851,8.644
1852,9.658
1853,9.766
1854,8.913
1855,10.421
1856,8.746
1857,9.783
1858,9.376
1859,9.808
1860,8.568
1861,10.093
1862,9.505
1863,9.693
1864,9.460
1865,10.298
1866,9.491
1867,8.775
1868,10.363
1869,8.964
1870,10.144
1871,9.784
1872,10.042
1873,9.261
1874,9.916
1875,9.696
1876,9.939
1877,9.089
1878,9.267
1879,9.304
1880,10.170
1881,9.252
1882,9.205
1883,8.969
1884,9.697
1885,9.338
1886,9.684
1887,8.762
1888,8.626
1889,8.519
1890,9.357
1891,9.352
1892,8.321
1893,10.351
1894,9.162
1895,10.619
1896,8.780
1897,9.904
1898,9.540
1899,10.201
1900,9.336
1901,10.716
1902,9.035
1903,9.289
1904,9.135
1905,8.889
1906,9.289
1907,8.714
1908,9.425
1909,8.283
1910,9.437
1911,9.945
1912,9.149
1913,9.619
1914,10.562
1915,8.773
1916,9.181
1917,10.214
1918,9.370
1919,8.105
1920,9.489
1921,10.031
1922,8.230
1923,8.769
1924,8.611
1925,9.182
1926,9.605
1927,9.884
1928,9.330
1929,10.770
1930,9.736
1931,8.783
1932,9.425
1933,10.057
1934,10.243
1935,9.601
1936,9.418
1937,9.566
1938,9.799
1939,9.577
1940,10.289
1941,9.497
1942,10.813
1943,9.832
1944,9.369
1945,11.107
1946,10.010
1947,11.959
1948,9.956
1949,10.120
1950,10.402
1951,9.572
1952,8.932
1953,9.842
1954,9.814
1955,8.819
1956,9.419
1957,9.828
1958,9.354
1959,10.187
1960,9.631
1961,9.946
1962,8.917
1963,11.540
1964,9.154
1965,8.706
1966,9.433
1967,9.917
1968,9.994
1969,11.107
1970,9.025
1971,9.517
1972,8.961
1973,9.452
1974,9.749
1975,9.883
1976,9.788
1977,9.643
1978,8.935
1979,10.565
1980,9.054
1981,10.122
1982,9.953
1983,9.966
1984,9.301
1985,10.498
1986,9.963
1987,9.667
1988,10.156
1989,10.565
1990,10.630
1991,10.280
1992,10.373
1993,9.447
1994,10.465
1995,11.210
1996,10.034
1997,11.041
1998,10.122
1999,10.718
2000,10.739
2001,10.193
2002,10.634
2003,10.311
2004,10.245
2005,10.438
2006,10.916
2007,11.014
2008,10.415
2009,10.318
2010,10.871
2011,10.701
2012,10.047
2013,9.453
