date,value
1744,6.741
1750,8.093
1751,8.407
1752,0.414
1753,6.652
1754,6.498
1755,6.657
1756,7.651
1757,9.237
1758,7.021
1759,7.636
1760,7.661
1761,9.099
1762,6.855
1763,7.798
1764,5.612
1765,6.086
1766,5.979
1767,7.547
1768,7.669
1769,7.951
1770,7.107
1771,8.061
1772,6.284
1773,7.040
1774,7.072
1775,7.736
1776,6.752
1777,7.298
1778,7.968
1779,7.584
1780,6.626
1781,6.884
1782,7.599
1783,6.962
1784,7.096
1785,7.483
1786,8.006
1787,6.376
1788,7.294
1789,7.827
1790,7.244
1791,7.538
1792,8.222
1793,6.477
1794,5.943
1795,6.201
1796,6.920
1797,6.755
1798,7.890
1799,6.936
1800,5.577
1801,6.648
1802,5.869
1803,5.583
1804,7.260
1805,7.015
1806,6.347
1807,7.487
1808,7.304
1809,6.394
1810,6.763
1811,7.852
1812,5.385
1813,7.735
1814,7.142
1815,6.182
1816,6.699
1817,6.965
1818,6.692
1819,8.941
1820,7.835
1821,5.998
1822,7.699
1823,6.600
1824,8.097
1825,6.609
1826,7.651
1827,7.907
1828,7.058
1829,7.720
1830,6.242
1831,7.431
1832,5.042
1833,6.627
1834,8.134
1835,5.814
1836,5.897
1837,5.487
1838,6.771
1839,6.372
1840,6.987
1841,7.364
1842,8.100
1843,7.541
1844,7.453
1845,7.637
1846,7.672
1847,7.785
1848,7.157
1849,7.060
1850,7.286
1851,6.232
1852,8.841
1853,7.128
1854,6.958
1855,7.503
1856,5.217
1857,6.246
1858,7.192
1859,7.901
1860,7.351
1861,6.919
1862,5.987
1863,6.281
1864,6.644
1865,7.237
1866,6.597
1867,6.195
1868,6.776
1869,6.805
1870,7.497
1871,5.581
1872,6.552
1873,7.774
1874,5.960
1875,7.532
1876,6.317
1877,6.232
1878,6.629
1879,7.665
1880,7.707
1881,6.465
1882,7.105
1883,6.636
1884,6.556
1885,6.110
1886,6.309
1887,7.118
1888,6.483
1889,7.154
1890,7.744
1891,6.063
1892,6.071
1893,5.690
1894,6.729
1895,7.938
1896,7.893
1897,6.812
1898,6.126
1899,6.933
1900,6.591
1901,7.729
1902,5.705
1903,6.756
1904,6.081
1905,7.699
1906,6.251
1907,5.849
1908,6.292
1909,5.767
1910,6.331
1911,7.931
1912,7.332
1913,7.614
1914,6.805
1915,6.581
1916,7.216
1917,7.415
1918,6.402
1919,7.879
1920,6.737
1921,5.135
1922,7.676
1923,5.538
1924,6.770
1925,8.390
1926,7.554
1927,7.467
1928,6.546
1929,5.778
1930,7.362
1931,6.970
1932,7.435
1933,7.383
1934,7.728
1935,6.183
1936,8.664
1937,7.129
1938,7.449
1939,8.150
1940,6.839
1941,7.823
1942,6.071
1943,6.833
1944,6.623
1945,6.913
1946,7.054
1947,7.720
1948,6.490
1949,6.581
1950,7.254
1951,6.545
1952,6.892
1953,7.665
1954,6.838
1955,7.713
1956,6.142
1957,6.431
1958,6.694
1959,7.191
1960,8.868
1961,7.497
1962,5.679
1963,7.252
1964,6.238
1965,6.107
1966,7.369
1967,6.575
1968,7.120
1969,7.327
1970,7.137
1971,6.390
1972,7.270
1973,7.808
1974,6.841
1975,6.611
1976,6.563
1977,6.217
1978,6.540
1979,6.261
1980,8.668
1981,6.509
1982,6.348
1983,6.740
1984,7.081
1985,6.808
1986,6.683
1987,6.145
1988,8.767
1989,5.900
1990,6.350
1991,6.690
1992,8.544
1993,7.259
1994,6.570
1995,6.840
1996,6.627
1997,8.907
1998,6.646
1999,7.268
2000,7.396
2001,7.347
2002,8.264
2003,8.944
2004,6.604
2005,7.326
2006,7.129
2007,6.391
2008,7.236
2009,8.842
2010,7.134
2011,6.365
2012,6.550
2013,9.790
