date,value
1796,14.661
1797,16.054
1798,14.404
1799,14.914
1800,14.835
1801,14.332
1802,15.252
1803,15.002
1804,15.299
1805,14.928
1806,14.848
1807,14.800
1813,14.188
1814,13.634
1815,13.713
1816,13.389
1817,13.489
1818,13.834
1819,13.422
1820,13.688
1821,14.497
1822,14.651
1823,14.290
1824,14.920
1825,14.743
1826,14.741
1827,14.991
1828,14.525
1829,14.332
1830,14.703
1831,14.042
1832,14.283
1833,14.491
1834,14.381
1835,13.407
1836,14.241
1837,14.095
1838,14.035
1839,14.076
1840,14.429
1841,14.280
1842,14.393
1843,14.422
1844,13.974
1845,14.203
1846,14.626
1847,14.208
1848,13.975
1849,14.047
1850,14.504
1851,14.416
1852,14.196
1853,14.577
1854,14.670
1855,14.884
1856,13.776
1857,13.931
1865,16.726
1866,14.658
1867,14.775
1868,14.423
1869,15.457
1870,14.491
1871,14.592
1872,14.619
1873,14.698
1874,14.554
1875,14.702
1876,14.658
1877,14.629
1878,14.798
1879,14.872
1880,14.821
1881,14.630
1882,14.576
1883,14.308
1884,14.294
1885,14.271
1886,14.551
1887,14.268
1888,14.548
1889,15.073
1890,14.544
1891,14.362
1892,14.943
1893,13.763
1894,14.654
1895,14.558
1896,15.279
1897,15.110
1898,15.017
1899,14.850
1900,15.026
1901,15.018
1902,15.010
1903,14.839
1904,14.758
1905,13.845
1906,14.851
1907,14.641
1908,15.160
1909,14.913
1910,14.642
1911,14.634
1912,14.590
1913,14.258
1914,14.600
1915,15.175
1916,14.924
1917,14.108
1918,14.495
1919,14.581
1920,14.765
1921,15.016
1922,14.866
1923,14.883
1924,15.114
1925,14.375
1926,14.662
1927,14.656
1928,15.233
1929,14.847
1930,14.785
1931,15.270
1932,15.174
1933,14.499
1934,14.778
1935,14.678
1936,14.388
1937,14.463
1938,14.758
1939,14.934
1940,14.817
1941,15.629
1942,15.261
1943,15.011
1944,14.655
1945,14.580
1946,15.026
1947,15.417
1948,14.947
1949,14.845
1950,14.651
1951,15.288
1952,15.286
1953,15.542
1954,15.188
1955,14.839
1956,15.015
1957,14.907
1958,15.752
1959,15.369
1960,15.315
1961,14.809
1962,14.751
1963,14.906
1964,15.207
1965,14.737
1966,15.391
1967,14.769
1968,14.615
1969,15.400
1970,15.087
1971,14.408
1972,15.077
1973,15.212
1974,15.229
1975,14.951
1976,15.140
1977,15.137
1978,14.664
1979,15.388
1980,15.299
1981,14.908
1982,14.894
1983,14.481
1984,15.278
1985,15.541
1986,14.933
1987,15.571
1988,15.552
1989,15.036
1990,15.272
1991,15.135
1992,15.076
1993,15.276
1994,15.458
1995,15.453
1996,15.460
1997,14.692
1998,15.578
1999,15.945
2000,15.279
2001,15.590
2002,15.649
2003,15.470
2004,15.552
2005,15.616
2006,16.056
2007,15.657
2008,15.409
2009,16.077
2010,16.114
2011,15.281
2012,15.420
2013,15.951
