date,value
1853,8.884
1854,9.729
1855,9.852
1856,9.502
1857,9.321
1858,9.331
1859,9.968
1860,10.008
1861,10.556
1862,10.098
1863,9.436
1864,10.523
1865,10.334
1866,10.638
1867,10.519
1868,9.670
1869,10.242
1870,10.117
1871,9.935
1872,10.636
1873,10.259
1874,9.937
1875,10.170
1876,10.647
1877,10.040
1878,9.990
1879,10.039
1880,10.730
1881,10.368
1882,10.048
1883,9.878
1884,9.198
1885,9.731
1886,9.836
1887,10.120
1888,9.420
1889,10.099
1890,10.212
1891,9.945
1892,10.325
1893,10.499
1894,10.263
1895,9.848
1896,9.862
1897,9.983
1898,9.756
1899,9.729
1900,9.971
1901,9.704
1902,9.183
1903,9.748
1904,9.633
1905,9.613
1906,9.464
1907,10.269
1908,9.933
1909,10.423
1910,10.549
1911,10.257
1912,9.690
1913,10.021
1914,10.083
1915,10.315
1916,11.031
1917,10.738
1918,10.098
1919,9.878
1920,10.024
1921,10.262
1922,10.367
1923,10.121
1924,11.009
1925,9.917
1926,10.120
1927,10.046
1928,11.009
1929,10.270
1930,9.664
1931,9.847
1932,10.011
1933,10.437
1934,10.537
1935,10.805
1936,10.268
1937,10.016
1938,11.214
1939,10.221
1940,10.157
1941,10.126
1942,10.488
1943,10.201
1944,10.345
1945,10.059
1946,10.280
1947,10.476
1948,10.749
1949,10.465
1950,10.618
1951,10.076
1952,10.406
1953,10.386
1954,10.774
1955,10.970
1956,11.185
1957,10.674
1958,10.686
1959,10.442
1960,10.555
1961,10.536
1962,11.149
1963,10.250
1964,10.394
1965,10.144
1966,10.395
1967,10.504
1968,10.511
1969,10.449
1970,11.149
1971,11.252
1972,10.556
1973,10.936
1974,11.064
1975,10.967
1976,10.142
1977,10.130
1978,11.043
1979,10.849
1980,10.600
1981,11.053
1982,10.365
1983,10.295
1984,10.964
1985,11.030
1986,10.943
1987,11.034
1988,11.093
1989,11.280
1990,11.269
1991,10.534
1992,9.936
1993,10.238
1994,10.542
1995,10.821
1996,10.744
1997,10.542
1998,11.633
1999,11.612
2000,11.116
2001,11.191
2002,10.998
2003,10.930
2004,10.475
2005,11.375
2006,10.704
2007,11.085
2008,11.172
2009,10.654
2010,11.336
2011,11.163
2012,10.657
2013,11.089
