date,value
1843,26.470
1844,26.180
1848,26.147
1849,26.277
1850,26.069
1851,26.444
1875,26.272
1876,26.440
1877,26.858
1878,26.945
1879,26.276
1880,26.495
1881,26.924
1882,26.389
1883,26.452
1884,26.460
1885,26.506
1886,26.748
1887,26.341
1888,26.536
1889,26.778
1890,26.423
1891,26.795
1892,26.743
1893,26.656
1894,26.545
1895,26.331
1896,26.608
1897,26.641
1898,26.333
1899,26.728
1900,26.747
1901,26.623
1902,26.986
1903,26.283
1904,26.794
1905,26.800
1906,26.645
1907,26.506
1908,26.423
1909,26.748
1910,26.372
1911,26.333
1912,26.753
1913,26.754
1914,26.730
1915,27.072
1916,26.270
1917,26.354
1918,26.357
1919,26.490
1920,26.780
1921,26.548
1922,26.862
1923,26.582
1924,27.115
1925,26.616
1926,27.067
1927,26.611
1928,26.709
1929,27.041
1930,26.713
1931,26.957
1932,26.735
1933,26.567
1934,26.711
1935,26.736
1936,26.617
1937,26.395
1938,26.467
1939,26.418
1940,26.866
1941,27.167
1942,26.864
1943,26.801
1944,27.021
1945,26.794
1946,26.894
1947,26.917
1948,27.029
1949,26.841
1950,26.304
1951,27.093
1952,26.930
1953,27.146
1954,27.170
1955,26.679
1956,26.774
1957,26.702
1958,27.176
1959,26.772
1960,26.943
1961,27.063
1962,26.926
1963,26.920
1964,26.523
1965,26.852
1966,26.944
1967,26.815
1968,26.728
1969,27.386
1970,27.233
1971,26.804
1972,26.881
1973,26.765
1974,26.893
1975,26.596
1976,26.945
1977,27.665
1978,27.284
1979,27.080
1980,27.413
1981,27.262
1982,26.777
1983,26.595
1984,26.547
1985,26.810
1986,26.847
1987,27.281
1988,27.277
1989,26.675
1990,27.445
1991,27.011
1992,26.739
1993,27.369
1994,27.756
1995,27.324
1996,27.174
1997,27.347
1998,28.187
1999,28.113
2000,27.922
2001,28.083
2002,27.994
2003,28.269
2004,28.125
2005,28.074
2006,28.045
2007,28.363
2008,27.752
2009,28.343
2010,28.459
2011,28.151
2012,28.212
2013,28.194
