date,value
1825,26.198
1826,26.238
1827,26.557
1828,26.004
1829,25.772
1851,25.882
1852,25.602
1853,25.744
1854,25.792
1855,25.894
1856,26.089
1857,25.477
1858,25.688
1859,25.627
1860,25.561
1861,25.764
1862,25.527
1863,25.888
1864,25.684
1865,25.854
1866,25.502
1867,26.004
1868,25.980
1869,26.739
1870,25.870
1871,25.648
1872,26.260
1873,25.846
1874,25.891
1875,25.939
1876,26.125
1877,26.401
1878,26.962
1879,26.035
1880,25.838
1881,26.065
1882,25.674
1883,25.525
1884,25.531
1885,25.764
1886,25.883
1887,25.504
1888,25.637
1889,26.177
1890,25.315
1891,26.189
1892,25.675
1893,25.533
1894,25.619
1895,25.942
1896,26.110
1897,26.421
1898,25.866
1899,25.959
1900,26.240
1901,25.742
1902,26.023
1903,26.187
1904,25.664
1905,25.988
1906,26.029
1907,25.804
1908,25.765
1909,25.693
1910,25.441
1911,26.108
1912,26.480
1913,25.917
1914,26.314
1915,26.552
1916,26.065
1917,25.383
1918,25.748
1919,26.219
1920,26.289
1921,26.186
1922,26.287
1923,26.158
1924,26.137
1925,26.145
1926,26.541
1927,26.210
1928,26.277
1929,26.325
1930,26.547
1931,26.591
1932,26.304
1933,26.109
1934,26.231
1935,26.047
1936,26.395
1937,26.312
1938,25.970
1939,26.367
1940,26.936
1941,27.129
1942,26.399
1943,26.134
1944,26.256
1945,26.312
1946,26.531
1947,26.481
1948,26.636
1949,26.099
1950,25.975
1951,26.488
1952,26.497
1953,26.639
1954,26.313
1955,26.144
1956,26.055
1957,26.815
1958,27.029
1959,26.646
1960,26.495
1961,26.482
1962,26.401
1963,26.447
1964,26.544
1965,26.500
1966,26.576
1967,26.232
1968,26.310
1969,26.720
1970,26.415
1971,26.020
1972,26.702
1973,26.569
1974,26.211
1975,26.139
1976,26.486
1977,26.717
1978,26.473
1979,26.652
1980,26.659
1981,26.656
1982,26.779
1983,27.251
1984,26.321
1985,26.416
1986,26.698
1987,27.223
1988,26.628
1989,26.526
1990,26.925
1991,27.068
1992,27.109
1993,26.937
1994,27.006
1995,26.958
1996,26.668
1997,27.413
1998,27.547
1999,26.425
2000,26.712
2001,26.666
2002,27.207
2003,27.248
2004,27.106
2005,27.085
2006,27.132
2007,27.059
2008,26.801
2009,27.270
2010,27.029
2011,26.709
2012,27.083
2013,27.218
