date,value
1853,26.065
1854,26.213
1855,26.034
1856,25.664
1857,25.770
1858,25.929
1859,26.175
1860,25.923
1861,25.788
1862,23.957
1865,26.107
1866,26.066
1867,26.246
1868,26.265
1869,26.303
1870,26.130
1871,26.018
1872,26.141
1873,26.133
1874,26.314
1875,25.857
1876,25.746
1877,26.390
1878,26.605
1879,26.053
1880,25.850
1881,25.813
1882,26.064
1883,25.954
1884,25.449
1885,25.816
1886,25.461
1887,25.530
1888,26.201
1889,26.229
1890,25.794
1891,25.912
1892,25.876
1893,25.796
1894,25.837
1895,25.803
1896,25.928
1897,26.439
1898,26.117
1899,25.941
1900,26.251
1901,26.058
1902,26.036
1903,26.224
1904,25.748
1905,26.061
1906,26.196
1907,25.979
1908,26.122
1909,26.163
1910,26.127
1911,26.046
1912,26.387
1913,26.135
1914,26.437
1915,26.707
1916,26.099
1917,26.014
1918,25.749
1919,26.355
1920,26.275
1921,26.219
1922,26.348
1923,26.092
1924,26.232
1925,26.148
1926,26.282
1927,26.397
1928,26.424
1929,26.074
1930,26.427
1931,26.612
1932,26.206
1933,26.362
1934,26.044
1935,26.306
1936,26.353
1937,26.511
1938,26.303
1939,26.371
1940,26.419
1941,26.788
1942,26.596
1943,26.270
1944,26.426
1945,26.331
1946,26.756
1947,26.888
1948,26.606
1949,26.553
1950,26.532
1951,26.737
1952,26.770
1953,26.849
1954,26.800
1955,26.561
1956,26.537
1957,26.844
1958,26.914
1959,26.828
1960,26.845
1961,26.696
1962,26.626
1963,26.485
1964,26.719
1965,26.561
1966,26.964
1967,26.574
1968,26.714
1969,27.018
1970,27.001
1971,26.400
1972,26.772
1973,26.989
1974,26.632
1975,26.726
1976,26.571
1977,26.825
1978,26.664
1979,26.832
1980,26.771
1981,26.830
1982,26.752
1983,27.103
1984,26.669
1985,26.903
1986,26.791
1987,27.302
1988,27.190
1989,26.732
1990,26.932
1991,26.793
1992,26.902
1993,26.846
1994,26.831
1995,26.826
1996,26.888
1997,26.976
1998,27.779
1999,26.926
2000,27.010
2001,27.104
2002,27.083
2003,27.015
2004,27.090
2005,27.144
2006,27.178
2007,27.162
2008,26.876
2009,27.009
2010,27.357
2011,26.786
2012,27.149
2013,27.417
