date,value
1824,25.269
1825,25.526
1826,25.327
1827,25.523
1828,25.572
1829,24.893
1845,24.782
1846,25.339
1847,24.946
1848,24.850
1849,24.995
1850,25.015
1851,25.139
1852,24.823
1853,25.096
1854,25.025
1855,25.206
1856,25.432
1857,24.656
1858,24.641
1859,24.813
1860,24.835
1861,25.042
1862,24.920
1863,25.074
1864,24.945
1865,25.196
1866,24.926
1867,25.010
1868,25.266
1869,25.352
1870,25.094
1871,25.234
1872,25.268
1873,24.970
1874,24.931
1875,24.966
1876,25.227
1877,25.639
1878,25.740
1879,25.149
1880,25.002
1881,24.987
1882,24.802
1883,24.780
1884,24.730
1885,25.112
1886,24.774
1887,24.636
1888,24.974
1889,25.258
1890,24.888
1891,25.173
1892,25.046
1893,24.889
1894,24.900
1895,25.161
1896,25.226
1897,25.437
1898,25.264
1899,25.088
1900,25.370
1901,25.570
1902,25.280
1903,25.374
1904,24.859
1905,25.470
1906,25.276
1907,24.902
1908,25.148
1909,25.045
1910,24.908
1911,25.179
1912,25.411
1913,24.767
1914,25.296
1915,25.657
1916,25.132
1917,24.835
1918,25.024
1919,25.397
1920,25.395
1921,25.067
1922,24.793
1923,25.056
1924,25.438
1925,25.160
1926,25.662
1927,25.516
1928,25.547
1929,25.251
1930,25.469
1931,25.787
1932,25.618
1933,25.313
1934,25.231
1935,25.086
1936,25.396
1937,25.532
1938,25.106
1939,25.279
1940,25.755
1941,25.915
1942,25.986
1943,25.475
1944,25.456
1945,25.222
1946,25.381
1947,25.735
1948,25.783
1949,25.288
1950,25.108
1951,25.595
1952,25.777
1953,25.786
1954,25.465
1955,25.466
1956,25.371
1957,25.785
1958,26.090
1959,25.915
1960,26.065
1961,25.687
1962,25.657
1963,25.937
1964,25.793
1965,25.377
1966,25.626
1967,25.354
1968,25.419
1969,25.995
1970,25.698
1971,25.362
1972,25.571
1973,25.716
1974,25.280
1975,25.347
1976,25.285
1977,25.778
1978,25.840
1979,25.738
1980,26.200
1981,26.144
1982,25.750
1983,26.194
1984,25.644
1985,25.587
1986,25.695
1987,26.293
1988,25.961
1989,25.617
1990,25.940
1991,25.880
1992,25.899
1993,26.015
1994,26.130
1995,26.257
1996,25.859
1997,26.316
1998,26.633
1999,26.053
2000,25.787
2001,26.270
2002,26.482
2003,26.511
2004,26.100
2005,26.430
2006,26.452
2007,26.618
2008,26.098
2009,26.338
2010,26.638
2011,26.221
2012,26.470
2013,26.283
