date,value
1839,13.961
1840,12.927
1841,13.884
1842,14.019
1843,10.917
1844,12.508
1845,14.413
1846,14.696
1847,12.926
1848,12.602
1849,12.374
1850,13.668
1851,13.466
1852,14.087
1853,12.528
1854,13.278
1855,15.079
1856,12.944
1857,12.561
1858,13.003
1859,12.920
1860,14.382
1861,12.739
1862,14.561
1863,12.703
1864,12.641
1865,14.917
1866,12.814
1867,13.014
1868,14.696
1869,12.958
1870,12.861
1871,12.950
1872,12.873
1873,12.392
1874,14.981
1875,12.988
1876,15.482
1877,11.689
1878,13.374
1879,13.058
1880,11.532
1881,13.263
1882,13.057
1883,14.834
1884,13.513
1885,14.341
1886,13.369
1887,12.853
1888,12.684
1889,14.338
1890,12.180
1891,11.386
1892,14.663
1893,14.527
1894,14.214
1895,12.697
1896,13.012
1897,13.168
1898,13.423
1899,11.883
1900,13.296
1901,13.154
1902,11.487
1903,12.995
1904,13.005
1905,12.512
1906,14.729
1907,15.075
1908,14.543
1909,12.725
1910,12.655
1911,12.917
1912,13.843
1913,12.490
1914,12.107
1915,12.639
1916,12.861
1917,14.919
1918,12.647
1919,11.829
1920,12.367
1921,14.580
1922,15.272
1923,11.321
1924,15.180
1925,13.459
1926,13.043
1927,13.355
1928,13.182
1929,13.173
1930,13.765
1931,12.515
1932,13.063
1933,13.475
1934,12.791
1935,12.059
1936,13.092
1937,13.837
1938,12.455
1939,12.539
1940,11.934
1941,12.915
1942,12.019
1943,12.357
1944,13.541
1945,13.048
1946,14.128
1947,14.276
1948,13.550
1949,13.498
1950,13.725
1951,13.485
1952,13.612
1953,13.279
1954,13.228
1955,13.733
1956,14.727
1957,13.150
1958,13.427
1959,13.969
1960,12.390
1961,12.870
1962,13.123
1963,11.827
1964,13.552
1965,13.193
1966,11.725
1967,12.280
1968,11.898
1969,14.616
1970,13.531
1971,13.167
1972,11.377
1973,13.396
1974,12.594
1975,12.762
1976,12.560
1977,12.379
1978,12.343
1979,11.801
1980,11.518
1981,13.148
1982,12.454
1983,12.304
1984,13.540
1985,13.619
1986,11.377
1987,13.326
1988,13.630
1989,12.342
1990,12.848
1991,13.731
1992,11.947
1993,11.737
1994,14.823
1995,11.969
1996,13.291
1997,12.640
1998,13.379
1999,12.894
2000,12.626
2001,14.721
2002,14.026
2003,12.658
2004,13.028
2005,14.323
2006,12.644
2007,12.654
2008,13.224
2009,12.371
2010,13.886
2011,12.405
2012,14.082
2013,17.059
