date,value
1753,14.682
1754,14.788
1755,14.479
1756,14.834
1757,14.710
1758,13.356
1759,14.453
1760,13.899
1761,14.759
1762,14.702
1763,13.911
1764,14.700
1765,14.742
1766,14.636
1767,14.776
1768,13.888
1769,14.464
1770,14.318
1771,14.795
1772,15.240
1773,14.435
1774,15.140
1775,15.242
1776,14.679
1777,14.527
1778,14.793
1779,14.963
1780,15.530
1781,14.924
1782,14.103
1783,14.443
1784,14.447
1785,14.163
1786,14.635
1787,14.713
1788,15.192
1789,14.002
1790,14.714
1791,14.771
1792,14.785
1793,14.810
1794,14.593
1795,14.881
1796,14.600
1797,14.395
1798,14.812
1799,14.416
1800,15.181
1801,14.965
1802,15.106
1803,14.864
1804,15.309
1805,14.596
1806,14.901
1807,14.315
1808,13.808
1809,13.747
1810,13.394
1811,13.681
1812,13.673
1813,13.885
1814,13.600
1815,13.984
1816,13.479
1817,14.579
1818,14.867
1819,14.101
1820,13.957
1821,14.914
1822,14.623
1823,14.353
1824,14.720
1825,14.765
1826,14.600
1827,14.533
1828,14.724
1829,14.128
1830,14.592
1831,14.814
1832,14.245
1833,14.273
1834,15.208
1835,14.217
1836,14.397
1837,14.424
1838,14.444
1839,14.288
1840,14.230
1841,14.359
1842,14.462
1843,14.648
1844,14.385
1845,14.017
1846,14.980
1847,14.581
1848,14.165
1849,14.457
1850,14.842
1851,14.706
1852,14.997
1853,13.749
1854,14.435
1855,13.759
1856,14.753
1857,14.380
1858,14.807
1859,14.489
1860,14.172
1861,14.651
1862,14.485
1863,14.393
1864,14.976
1865,14.760
1866,14.609
1867,14.922
1868,15.155
1869,14.564
1870,15.048
1871,14.339
1872,14.291
1873,14.465
1874,14.681
1875,14.789
1876,14.786
1877,14.863
1878,14.553
1879,13.966
1880,14.241
1881,15.161
1882,14.230
1883,13.719
1884,14.188
1885,13.797
1886,14.071
1887,14.195
1888,13.857
1889,13.437
1890,13.759
1891,13.950
1892,14.325
1893,15.174
1894,14.218
1895,15.095
1896,14.245
1897,15.230
1898,14.831
1899,15.857
1900,14.712
1901,14.351
1902,14.433
1903,14.536
1904,14.875
1905,14.212
1906,14.622
1907,14.397
1908,14.771
1909,14.311
1910,14.176
1911,14.369
1912,14.241
1913,14.430
1914,14.429
1915,14.658
1916,14.437
1917,13.949
1918,14.592
1919,14.603
1920,14.899
1921,15.015
1922,14.454
1923,14.463
1924,14.616
1925,14.090
1926,15.425
1927,14.630
1928,14.755
1929,15.300
1930,14.852
1931,14.614
1932,14.270
1933,14.711
1934,14.438
1935,14.450
1936,14.435
1937,14.908
1938,15.054
1939,14.553
1940,14.862
1941,14.538
1942,14.764
1943,15.181
1944,14.809
1945,15.597
1946,14.509
1947,15.236
1948,15.761
1949,15.759
1950,15.066
1951,14.469
1952,14.772
1953,15.275
1954,14.596
1955,15.726
1956,13.853
1957,14.722
1958,14.904
1959,15.044
1960,14.822
1961,15.700
1962,14.931
1963,14.625
1964,15.120
1965,14.718
1966,14.995
1967,14.700
1968,14.928
1969,14.413
1970,14.759
1971,14.277
1972,13.878
1973,14.615
1974,14.383
1975,14.477
1976,14.591
1977,14.588
1978,14.827
1979,14.752
1980,14.841
1981,15.496
1982,15.072
1983,15.070
1984,14.604
1985,15.154
1986,14.730
1987,15.606
1988,15.099
1989,16.062
1990,15.743
1991,15.233
1992,15.111
1993,14.520
1994,15.313
1995,16.347
1996,15.296
1997,16.268
1998,15.645
1999,15.279
2000,15.393
2001,15.408
2002,15.463
2003,15.816
2004,15.464
2005,15.537
2006,16.003
2007,15.241
2008,15.270
2009,15.984
2010,15.684
2011,16.066
2012,15.392
2013,15.889
