date,value
1843,26.247
1844,18.882
1845,22.284
1848,26.077
1849,26.290
1850,25.907
1851,26.542
1852,26.409
1853,26.365
1854,26.241
1855,26.436
1856,26.108
1857,25.853
1858,26.486
1859,26.527
1860,26.401
1861,25.797
1862,25.477
1863,25.940
1864,26.346
1865,26.597
1866,26.356
1867,26.682
1868,26.571
1869,26.783
1870,26.516
1871,26.375
1872,26.422
1873,26.717
1874,26.526
1875,26.253
1876,26.425
1877,26.901
1878,26.891
1879,26.536
1880,26.346
1881,27.103
1882,26.267
1883,26.684
1884,26.397
1885,26.428
1886,26.640
1887,26.326
1888,26.628
1889,26.932
1890,26.489
1891,26.777
1892,26.795
1893,26.709
1894,26.374
1895,26.284
1896,26.447
1897,26.409
1898,26.242
1899,26.712
1900,26.737
1901,26.938
1902,26.869
1903,26.140
1904,26.669
1905,26.539
1906,26.474
1907,26.262
1908,26.591
1909,26.933
1910,26.141
1911,25.744
1912,26.455
1913,26.486
1914,26.673
1915,26.979
1916,26.237
1917,26.434
1918,26.198
1919,26.675
1920,26.577
1921,26.446
1922,26.935
1923,26.524
1924,27.229
1925,26.466
1926,26.772
1927,26.613
1928,26.657
1929,26.783
1930,26.701
1931,26.735
1932,26.419
1933,26.178
1934,26.405
1935,26.888
1936,26.489
1937,26.453
1938,26.680
1939,26.529
1940,26.928
1941,26.943
1942,27.084
1943,26.622
1944,27.045
1945,26.680
1946,27.252
1947,27.448
1948,26.614
1949,26.396
1950,26.293
1951,27.114
1952,26.952
1953,27.029
1954,27.228
1955,26.889
1956,26.611
1957,26.528
1958,27.122
1959,26.275
1960,27.046
1961,26.698
1962,27.161
1963,26.897
1964,26.259
1965,27.068
1966,27.211
1967,26.560
1968,26.698
1969,27.490
1970,27.287
1971,26.643
1972,26.355
1973,26.934
1974,26.872
1975,26.657
1976,26.619
1977,27.520
1978,27.089
1979,27.528
1980,27.437
1981,27.375
1982,26.271
1983,26.404
1984,26.771
1985,26.974
1986,27.204
1987,27.380
1988,27.376
1989,26.753
1990,27.320
1991,26.720
1992,26.147
1993,27.050
1994,27.530
1995,27.103
1996,27.608
1997,27.158
1998,28.425
1999,28.567
2000,27.993
2001,28.306
2002,28.186
2003,28.325
2004,28.140
2005,28.013
2006,28.071
2007,28.170
2008,27.865
2009,28.123
2010,28.890
2011,28.162
2012,28.485
2013,28.574
