date,value
1743,3.890
1744,12.510
1745,4.885
1750,13.529
1751,14.374
1752,5.420
1753,12.889
1754,12.728
1755,12.930
1756,11.621
1757,13.197
1758,11.389
1759,12.136
1760,11.931
1761,13.343
1762,12.202
1763,10.385
1764,10.103
1765,12.369
1766,12.878
1767,12.604
1768,11.494
1769,12.096
1770,12.008
1771,13.158
1772,11.851
1773,11.647
1774,14.817
1775,12.105
1776,10.933
1777,11.775
1778,11.599
1779,10.959
1780,12.918
1781,13.231
1782,12.374
1783,11.605
1784,12.425
1785,13.170
1786,11.889
1787,11.214
1788,12.845
1789,12.974
1790,10.069
1791,10.515
1792,12.362
1793,11.037
1794,11.820
1795,11.481
1796,12.380
1797,12.249
1798,11.860
1799,12.450
1800,14.191
1801,12.182
1802,12.119
1803,12.719
1804,12.281
1805,11.160
1806,11.332
1807,11.674
1808,13.669
1809,12.933
1810,10.509
1811,13.159
1812,11.891
1813,11.837
1814,10.383
1815,11.742
1816,11.488
1817,10.455
1818,12.438
1819,12.493
1820,12.233
1821,10.800
1822,13.079
1823,11.366
1824,10.792
1825,12.238
1826,11.357
1827,12.878
1828,12.504
1829,12.932
1830,11.240
1831,11.949
1832,10.623
1833,9.921
1834,13.009
1835,11.560
1836,11.258
1837,11.437
1838,11.542
1839,13.908
1840,13.070
1841,12.168
1842,10.648
1843,9.741
1844,11.741
1845,12.209
1846,13.128
1847,12.011
1848,13.582
1849,12.070
1850,13.605
1851,13.208
1852,10.902
1853,11.284
1854,10.581
1855,12.720
1856,14.499
1857,11.731
1858,11.700
1859,11.620
1860,12.156
1861,10.989
1862,13.023
1863,13.119
1864,11.552
1865,12.096
1866,11.257
1867,11.701
1868,11.401
1869,10.542
1870,11.640
1871,11.615
1872,12.393
1873,12.811
1874,12.210
1875,12.883
1876,12.390
1877,11.754
1878,12.800
1879,11.042
1880,13.608
1881,11.245
1882,11.357
1883,13.519
1884,10.049
1885,12.631
1886,11.025
1887,12.287
1888,11.832
1889,12.416
1890,12.760
1891,12.399
1892,11.462
1893,11.527
1894,12.312
1895,10.935
1896,12.585
1897,13.923
1898,11.257
1899,10.837
1900,10.398
1901,11.411
1902,10.185
1903,10.268
1904,10.715
1905,12.791
1906,12.512
1907,12.063
1908,11.764
1909,11.572
1910,10.312
1911,12.457
1912,9.376
1913,10.824
1914,10.532
1915,8.856
1916,10.501
1917,12.775
1918,11.372
1919,11.613
1920,13.581
1921,11.145
1922,12.295
1923,12.063
1924,12.516
1925,11.614
1926,11.585
1927,13.673
1928,13.936
1929,12.407
1930,13.125
1931,11.986
1932,14.392
1933,11.268
1934,12.439
1935,11.359
1936,11.822
1937,12.247
1938,13.108
1939,11.390
1940,11.702
1941,11.179
1942,13.527
1943,12.732
1944,12.285
1945,12.587
1946,13.687
1947,12.019
1948,11.481
1949,11.009
1950,12.471
1951,12.157
1952,12.887
1953,12.448
1954,11.635
1955,9.773
1956,14.979
1957,11.784
1958,10.613
1959,11.077
1960,11.889
1961,12.004
1962,12.851
1963,13.427
1964,11.285
1965,10.724
1966,12.373
1967,13.375
1968,11.969
1969,12.416
1970,11.218
1971,9.974
1972,11.552
1973,10.946
1974,10.259
1975,11.829
1976,11.720
1977,11.729
1978,11.676
1979,11.672
1980,11.618
1981,12.592
1982,11.640
1983,11.682
1984,12.498
1985,11.113
1986,12.725
1987,14.183
1988,11.074
1989,11.746
1990,12.492
1991,12.519
1992,13.356
1993,12.470
1994,11.609
1995,11.485
1996,14.189
1997,10.507
1998,11.578
1999,12.254
2000,11.880
2001,12.160
2002,13.137
2003,13.438
2004,11.923
2005,11.385
2006,12.119
2007,12.008
2008,11.617
2009,11.596
2010,13.781
2011,11.982
2012,14.993
2013,13.550
