date,value
1849,27.426
1850,27.451
1851,27.605
1856,27.392
1857,27.206
1858,27.186
1859,27.957
1860,27.415
1861,27.476
1862,27.118
1863,27.128
1864,27.581
1865,27.684
1866,27.422
1868,27.106
1869,27.523
1870,27.758
1873,26.930
1874,27.209
1875,27.028
1876,27.532
1877,27.575
1878,27.824
1879,27.385
1880,27.549
1881,28.030
1882,27.757
1883,28.316
1884,27.622
1885,27.114
1886,27.212
1887,27.364
1888,27.429
1889,26.814
1890,27.135
1891,27.560
1892,28.031
1893,28.038
1894,27.278
1895,27.453
1896,28.045
1897,28.337
1898,27.811
1899,28.230
1900,27.856
1901,27.971
1902,28.022
1903,27.729
1904,27.176
1905,27.605
1906,27.752
1907,26.802
1908,27.524
1909,27.402
1910,27.907
1911,27.601
1912,27.781
1913,28.137
1914,27.896
1915,28.092
1916,27.738
1917,27.374
1918,27.581
1919,27.969
1920,27.732
1921,27.901
1922,27.843
1923,28.156
1924,27.890
1925,27.993
1926,28.448
1927,28.011
1928,27.721
1929,27.774
1930,27.642
1931,28.222
1932,27.850
1933,27.844
1934,27.657
1935,27.757
1936,27.966
1937,28.227
1938,28.101
1939,27.901
1940,28.045
1941,28.248
1942,27.957
1943,27.773
1944,28.250
1945,28.476
1946,27.959
1947,28.115
1948,27.690
1949,28.074
1950,27.817
1951,27.829
1952,27.631
1953,27.862
1954,27.755
1955,27.985
1956,27.696
1957,27.791
1958,28.277
1959,27.935
1960,28.014
1961,28.029
1962,28.163
1963,28.249
1964,28.043
1965,27.591
1966,28.185
1967,27.586
1968,27.803
1969,28.709
1970,28.572
1971,27.832
1972,28.206
1973,28.465
1974,27.564
1975,27.712
1976,27.663
1977,28.544
1978,28.154
1979,28.636
1980,28.547
1981,28.498
1982,27.966
1983,29.055
1984,28.330
1985,28.273
1986,28.021
1987,28.876
1988,28.377
1989,28.276
1990,28.508
1991,28.490
1992,28.460
1993,28.647
1994,28.241
1995,28.557
1996,28.776
1997,28.821
1998,29.254
1999,28.127
2000,28.526
2001,28.936
2002,28.978
2003,28.704
2004,28.852
2005,28.955
2006,28.631
2007,28.817
2008,28.796
2009,28.474
2010,29.302
2011,28.775
2012,28.636
2013,29.302
