date,value
1867,26.286
1868,25.901
1869,26.310
1870,25.961
1871,26.193
1872,26.154
1873,26.245
1874,26.118
1875,25.820
1876,26.192
1889,25.870
1890,25.913
1891,26.029
1892,25.995
1893,26.181
1894,26.118
1895,26.152
1896,25.755
1897,26.322
1898,26.106
1899,25.913
1900,26.211
1901,26.502
1902,25.806
1903,26.227
1904,25.999
1905,25.972
1906,26.344
1907,26.060
1908,26.115
1909,26.585
1910,26.005
1911,26.520
1912,26.480
1913,26.493
1914,26.434
1915,26.974
1916,26.716
1917,26.322
1918,26.287
1919,26.511
1920,26.542
1921,26.467
1922,26.514
1923,26.321
1924,26.599
1925,26.199
1926,26.275
1927,26.424
1928,26.559
1929,26.329
1930,26.355
1931,26.383
1932,26.433
1933,26.336
1934,26.318
1935,26.525
1936,26.505
1937,26.617
1938,26.718
1939,26.549
1940,26.442
1941,26.435
1942,26.794
1943,26.525
1944,26.486
1945,26.614
1946,26.442
1947,27.146
1948,26.579
1949,26.533
1950,26.655
1951,26.563
1952,26.740
1953,26.469
1954,26.728
1955,26.533
1956,26.794
1957,26.575
1958,26.877
1959,26.682
1960,26.662
1961,26.673
1962,26.717
1963,26.561
1964,26.730
1965,26.284
1966,26.539
1967,26.532
1968,26.544
1969,26.862
1970,26.731
1971,26.497
1972,26.458
1973,27.038
1974,26.804
1975,26.747
1976,26.632
1977,26.857
1978,26.924
1979,26.955
1980,26.941
1981,27.067
1982,26.740
1983,26.987
1984,26.896
1985,27.013
1986,27.024
1987,26.955
1988,27.280
1989,26.992
1990,27.265
1991,26.993
1992,27.002
1993,26.781
1994,26.793
1995,27.201
1996,27.125
1997,26.950
1998,27.374
1999,26.994
2000,27.265
2001,27.448
2002,27.375
2003,27.380
2004,27.179
2005,27.383
2006,27.207
2007,27.321
2008,27.184
2009,27.388
2010,27.586
2011,27.236
2012,27.180
2013,27.210
