date,value
1849,25.471
1850,25.497
1851,25.501
1854,24.916
1855,25.830
1856,25.478
1857,25.213
1858,25.331
1859,25.910
1860,25.396
1861,25.421
1862,25.107
1863,25.347
1864,25.561
1865,25.692
1866,25.951
1868,25.425
1869,25.566
1870,25.610
1873,24.978
1874,25.366
1875,24.873
1876,24.902
1877,25.562
1878,25.766
1879,25.385
1880,26.030
1881,26.199
1882,25.721
1883,26.331
1884,26.050
1885,25.233
1886,25.302
1887,25.159
1888,25.220
1889,24.561
1890,25.114
1891,25.428
1892,25.644
1893,25.452
1894,25.275
1895,25.357
1896,25.905
1897,25.945
1898,25.554
1899,26.137
1900,25.959
1901,25.986
1902,25.794
1903,25.743
1904,25.316
1905,25.802
1906,25.889
1907,25.505
1908,25.557
1909,25.473
1910,25.983
1911,25.579
1912,26.162
1913,26.240
1914,26.068
1915,26.198
1916,25.941
1917,25.877
1918,25.696
1919,25.836
1920,25.925
1921,25.899
1922,25.862
1923,25.838
1924,25.505
1925,25.647
1926,26.223
1927,26.099
1928,26.020
1929,26.123
1930,26.081
1931,26.174
1932,25.793
1933,26.009
1934,25.985
1935,25.885
1936,26.108
1937,26.305
1938,26.086
1939,26.130
1940,26.485
1941,26.462
1942,26.223
1943,25.925
1944,26.177
1945,26.289
1946,26.155
1947,26.308
1948,25.949
1949,26.105
1950,25.941
1951,26.056
1952,26.177
1953,26.256
1954,25.813
1955,25.891
1956,25.803
1957,26.118
1958,26.201
1959,26.166
1960,26.269
1961,26.108
1962,26.040
1963,26.354
1964,26.034
1965,25.896
1966,26.171
1967,25.976
1968,26.166
1969,26.438
1970,26.405
1971,25.934
1972,26.289
1973,26.656
1974,26.150
1975,26.042
1976,25.845
1977,26.378
1978,26.268
1979,26.554
1980,26.494
1981,26.358
1982,26.254
1983,26.653
1984,26.403
1985,26.289
1986,26.076
1987,26.883
1988,26.545
1989,26.362
1990,26.551
1991,26.622
1992,26.397
1993,26.609
1994,26.358
1995,26.578
1996,26.705
1997,26.670
1998,27.076
1999,26.522
2000,26.547
2001,26.827
2002,26.993
2003,26.992
2004,26.979
2005,27.029
2006,26.718
2007,26.837
2008,26.979
2009,26.985
2010,27.177
2011,26.926
2012,26.676
2013,26.948
