date,value
1836,23.833
1837,23.763
1838,23.771
1839,24.158
1840,24.256
1841,24.159
1842,24.443
1843,24.573
1844,23.969
1845,23.955
1846,24.849
1847,24.468
1848,24.285
1849,24.956
1850,24.710
1851,24.524
1852,24.511
1853,24.157
1854,24.091
1855,24.199
1856,24.364
1857,24.320
1858,24.660
1859,24.380
1860,24.073
1861,24.489
1862,24.342
1863,24.513
1864,24.259
1865,24.611
1866,24.312
1867,24.786
1868,24.301
1869,25.402
1870,24.685
1871,24.410
1872,24.751
1873,24.401
1874,24.677
1875,24.533
1876,24.543
1877,24.811
1878,25.425
1879,24.507
1880,24.751
1881,24.796
1882,24.658
1883,24.440
1884,24.220
1885,24.212
1886,24.460
1887,24.175
1888,24.139
1889,24.606
1890,24.108
1891,24.777
1892,24.294
1893,24.425
1894,24.596
1895,24.694
1896,24.999
1897,25.357
1898,24.738
1899,24.493
1900,24.655
1901,24.134
1902,24.628
1903,24.478
1904,24.129
1905,24.425
1906,24.547
1907,24.558
1908,24.467
1909,24.813
1910,23.959
1911,24.985
1912,24.959
1913,24.411
1914,24.729
1915,25.177
1916,24.525
1917,24.284
1918,24.775
1919,25.044
1920,24.772
1921,25.015
1922,24.992
1923,24.925
1924,25.009
1925,24.797
1926,25.220
1927,24.946
1928,24.950
1929,24.968
1930,25.377
1931,25.239
1932,24.993
1933,25.051
1934,25.218
1935,24.837
1936,25.059
1937,24.904
1938,24.574
1939,24.820
1940,24.905
1941,25.323
1942,25.163
1943,24.960
1944,24.917
1945,24.993
1946,25.506
1947,25.650
1948,25.327
1949,24.962
1950,24.643
1951,25.194
1952,25.256
1953,25.546
1954,24.959
1955,24.917
1956,24.879
1957,25.279
1958,25.578
1959,25.320
1960,25.036
1961,25.126
1962,24.800
1963,25.066
1964,25.144
1965,25.327
1966,25.059
1967,24.908
1968,24.768
1969,25.361
1970,25.056
1971,24.874
1972,25.567
1973,25.323
1974,24.886
1975,24.992
1976,24.911
1977,25.400
1978,25.325
1979,25.341
1980,25.428
1981,25.063
1982,25.419
1983,25.797
1984,24.943
1985,25.137
1986,25.153
1987,25.737
1988,25.474
1989,25.204
1990,25.567
1991,25.641
1992,25.782
1993,25.663
1994,25.913
1995,25.734
1996,25.354
1997,26.036
1998,26.131
1999,25.280
2000,25.407
2001,25.493
2002,25.710
2003,25.724
2004,25.743
2005,25.623
2006,25.758
2007,25.475
2008,25.248
2009,25.788
2010,25.459
2011,25.550
2012,25.560
2013,25.911
