date,value
1743,3.697
1744,10.925
1745,3.695
1750,10.673
1751,12.696
1752,5.683
1753,11.288
1754,12.305
1755,11.270
1756,10.105
1757,11.436
1758,10.092
1759,12.174
1760,10.785
1761,11.761
1762,12.012
1763,9.108
1764,9.574
1765,10.787
1766,11.320
1767,10.874
1768,11.354
1769,10.320
1770,10.491
1771,12.897
1772,10.321
1773,10.166
1774,12.848
1775,10.740
1776,9.554
1777,10.472
1778,10.528
1779,9.940
1780,11.092
1781,12.062
1782,10.632
1783,10.513
1784,10.754
1785,11.379
1786,11.008
1787,9.860
1788,11.133
1789,13.088
1790,8.803
1791,10.241
1792,10.862
1793,10.758
1794,10.774
1795,10.186
1796,10.940
1797,11.155
1798,10.535
1799,11.652
1800,12.855
1801,11.987
1802,11.865
1803,10.892
1804,11.911
1805,10.224
1806,9.159
1807,12.865
1808,12.190
1809,10.333
1810,9.413
1811,12.583
1812,10.305
1813,10.213
1814,9.002
1815,10.299
1816,9.919
1817,9.248
1818,10.961
1819,11.123
1820,10.752
1821,9.590
1822,12.140
1823,11.167
1824,9.222
1825,10.959
1826,10.187
1827,13.133
1828,10.969
1829,12.629
1830,11.233
1831,10.959
1832,9.742
1833,8.965
1834,10.811
1835,10.418
1836,9.967
1837,11.129
1838,9.931
1839,12.233
1840,11.243
1841,10.820
1842,9.145
1843,8.509
1844,11.596
1845,10.760
1846,12.000
1847,10.176
1848,11.851
1849,9.161
1850,11.993
1851,10.677
1852,10.659
1853,11.474
1854,9.123
1855,10.908
1856,13.192
1857,10.893
1858,13.486
1859,10.379
1860,10.257
1861,10.068
1862,11.753
1863,10.692
1864,9.648
1865,12.473
1866,9.935
1867,10.225
1868,10.720
1869,10.008
1870,11.390
1871,9.766
1872,11.085
1873,11.174
1874,11.768
1875,11.416
1876,10.699
1877,10.010
1878,11.114
1879,10.167
1880,9.958
1881,9.804
1882,11.112
1883,11.516
1884,9.914
1885,10.949
1886,10.967
1887,10.257
1888,9.979
1889,12.249
1890,11.049
1891,10.597
1892,10.737
1893,10.327
1894,10.932
1895,10.752
1896,10.721
1897,12.044
1898,10.052
1899,9.307
1900,10.957
1901,9.974
1902,9.461
1903,9.909
1904,9.498
1905,10.890
1906,10.979
1907,11.802
1908,11.335
1909,9.534
1910,8.860
1911,10.236
1912,8.700
1913,9.542
1914,9.477
1915,8.972
1916,9.076
1917,12.512
1918,10.918
1919,9.635
1920,12.174
1921,11.164
1922,10.070
1923,11.006
1924,10.521
1925,9.757
1926,10.312
1927,11.367
1928,10.882
1929,10.891
1930,11.589
1931,11.596
1932,12.861
1933,10.156
1934,11.307
1935,10.999
1936,10.002
1937,11.819
1938,11.430
1939,10.127
1940,11.653
1941,10.555
1942,10.859
1943,10.335
1944,10.712
1945,11.360
1946,11.878
1947,11.947
1948,10.272
1949,10.123
1950,10.719
1951,9.682
1952,12.248
1953,11.300
1954,10.056
1955,9.309
1956,13.195
1957,10.233
1958,10.042
1959,10.160
1960,10.308
1961,10.904
1962,11.937
1963,13.421
1964,12.524
1965,9.895
1966,10.713
1967,11.979
1968,10.486
1969,11.148
1970,10.595
1971,9.658
1972,10.058
1973,9.581
1974,9.121
1975,10.485
1976,12.052
1977,10.183
1978,10.013
1979,10.170
1980,9.756
1981,11.408
1982,10.668
1983,10.724
1984,10.767
1985,9.775
1986,11.440
1987,12.287
1988,9.897
1989,10.575
1990,10.677
1991,11.123
1992,10.778
1993,9.984
1994,10.195
1995,10.260
1996,12.356
1997,8.829
1998,9.437
1999,12.010
2000,10.684
2001,10.601
2002,11.488
2003,12.250
2004,11.444
2005,11.345
2006,11.109
2007,10.479
2008,9.397
2009,12.507
2010,11.786
2011,11.006
2012,12.905
2013,13.372
