date,value
1857,18.011
1858,18.328
1859,18.409
1860,18.527
1861,18.323
1862,17.922
1863,18.362
1864,18.330
1865,18.628
1866,18.575
1867,18.687
1868,18.367
1869,18.685
1870,18.379
1871,18.447
1872,18.453
1873,18.098
1874,18.518
1875,18.203
1876,18.223
1877,18.706
1878,18.685
1879,18.197
1880,18.663
1881,18.464
1882,18.220
1883,18.440
1884,18.130
1885,18.421
1886,18.562
1887,18.138
1888,18.614
1889,19.043
1890,18.561
1891,18.476
1892,18.738
1893,18.240
1894,18.254
1895,18.527
1896,19.016
1897,18.591
1898,18.030
1899,18.251
1900,18.855
1901,18.320
1902,18.374
1903,18.540
1904,18.206
1905,18.429
1906,18.243
1907,18.086
1908,18.566
1909,19.128
1910,17.872
1911,18.246
1912,18.863
1913,18.998
1914,19.048
1915,18.609
1916,18.717
1917,18.139
1918,18.377
1919,18.635
1920,18.851
1921,18.479
1922,18.980
1923,19.162
1924,18.136
1925,18.747
1926,18.911
1927,18.825
1928,18.888
1929,18.795
1930,18.531
1931,18.942
1932,18.989
1933,18.832
1934,18.964
1935,18.190
1936,18.357
1937,18.779
1938,18.926
1939,18.349
1940,19.092
1941,19.725
1942,19.096
1943,18.607
1944,19.090
1945,18.786
1946,19.104
1947,19.094
1948,18.995
1949,18.933
1950,19.027
1951,18.629
1952,19.139
1953,18.665
1954,18.711
1955,18.297
1956,18.795
1957,19.265
1958,19.255
1959,18.818
1960,18.767
1961,19.160
1962,19.409
1963,18.810
1964,18.813
1965,18.797
1966,19.171
1967,18.821
1968,18.729
1969,19.421
1970,19.515
1971,18.814
1972,18.780
1973,18.916
1974,18.954
1975,18.692
1976,18.750
1977,19.448
1978,19.118
1979,19.295
1980,18.997
1981,18.604
1982,19.328
1983,19.837
1984,19.028
1985,19.581
1986,19.438
1987,19.618
1988,19.397
1989,19.227
1990,19.212
1991,19.412
1992,20.270
1993,19.725
1994,18.970
1995,19.539
1996,19.111
1997,19.153
1998,19.865
1999,19.789
2000,19.024
2001,19.546
2002,19.596
2003,19.997
2004,19.470
2005,19.976
2006,19.267
2007,19.615
2008,19.421
2009,19.293
2010,19.756
2011,19.359
2012,19.572
2013,18.958
