date,value
1808,12.096
1809,16.542
1810,16.591
1811,16.614
1812,16.610
1813,17.168
1814,17.309
1815,16.936
1816,16.524
1817,16.714
1818,17.585
1819,17.076
1820,17.177
1821,17.333
1822,17.094
1823,17.559
1824,18.412
1825,17.603
1826,17.525
1827,18.496
1828,17.572
1829,17.592
1830,17.897
1831,17.209
1832,16.485
1833,17.464
1834,17.310
1835,16.908
1836,17.345
1837,17.044
1838,16.784
1839,17.063
1840,17.050
1841,17.520
1842,17.583
1843,17.524
1844,17.318
1845,17.548
1846,18.143
1847,17.745
1848,17.705
1849,17.723
1850,17.133
1851,18.127
1852,17.756
1853,18.308
1854,17.308
1855,17.867
1856,17.337
1857,16.917
1858,17.575
1859,17.796
1860,18.145
1861,16.675
1862,16.629
1863,17.121
1864,17.687
1865,18.029
1866,17.846
1867,17.821
1868,17.567
1869,18.108
1870,17.906
1871,17.429
1872,18.160
1873,18.358
1874,17.589
1875,16.952
1876,18.056
1877,18.381
1878,18.345
1879,18.568
1880,17.027
1881,17.776
1882,17.240
1883,17.832
1884,17.286
1885,18.013
1886,17.505
1887,17.981
1888,17.983
1889,18.125
1890,17.770
1891,17.818
1892,18.106
1893,17.546
1894,17.068
1895,17.536
1896,17.354
1897,17.150
1898,17.487
1899,17.963
1900,18.093
1901,18.876
1902,18.194
1903,17.590
1904,17.496
1905,17.432
1906,17.578
1907,17.064
1908,17.332
1909,18.307
1910,17.495
1911,16.677
1912,17.870
1913,17.185
1914,17.375
1915,18.092
1916,18.392
1917,18.277
1918,17.777
1919,18.191
1920,16.905
1921,17.283
1922,18.302
1923,18.287
1924,18.133
1925,17.931
1926,18.134
1927,18.302
1928,18.211
1929,18.129
1930,18.721
1931,18.140
1932,17.987
1933,17.363
1934,18.005
1935,18.696
1936,18.278
1937,18.737
1938,17.945
1939,18.285
1940,18.375
1941,18.387
1942,18.172
1943,17.806
1944,18.162
1945,17.638
1946,18.153
1947,19.114
1948,17.587
1949,17.278
1950,17.770
1951,18.395
1952,18.633
1953,17.501
1954,18.543
1955,19.172
1956,17.756
1957,18.092
1958,18.453
1959,17.537
1960,19.075
1961,18.138
1962,19.398
1963,18.661
1964,17.624
1965,18.189
1966,19.226
1967,17.196
1968,18.284
1969,18.505
1970,18.789
1971,18.084
1972,17.370
1973,18.066
1974,18.101
1975,18.041
1976,17.668
1977,18.398
1978,18.680
1979,19.140
1980,18.285
1981,18.567
1982,17.483
1983,17.707
1984,18.150
1985,18.543
1986,18.607
1987,18.295
1988,18.082
1989,18.601
1990,18.543
1991,18.480
1992,17.029
1993,18.046
1994,19.052
1995,18.482
1996,18.903
1997,17.934
1998,19.415
1999,19.281
2000,18.773
2001,19.396
2002,18.857
2003,18.839
2004,18.773
2005,18.742
2006,18.744
2007,19.042
2008,19.161
2009,19.070
2010,20.709
2011,18.607
2012,19.358
2013,20.021
