date,value
1833,10.322
1834,10.538
1835,10.416
1836,10.424
1837,9.378
1838,10.268
1839,10.196
1840,10.756
1841,10.354
1842,10.320
1843,10.937
1844,10.156
1845,10.765
1846,10.581
1847,10.674
1848,10.607
1849,10.509
1850,10.370
1851,10.646
1852,10.925
1853,10.855
1854,10.818
1855,11.080
1856,10.515
1857,10.239
1858,10.838
1859,11.389
1860,11.235
1861,10.683
1862,10.531
1863,10.886
1864,11.016
1865,10.784
1866,10.579
1867,9.696
1868,10.960
1869,10.977
1870,11.457
1871,11.388
1872,11.266
1873,9.609
1874,11.347
1875,10.055
1876,10.821
1877,10.940
1878,9.541
1879,11.553
1880,10.217
1881,11.514
1882,10.901
1883,11.515
1884,10.407
1885,10.493
1886,10.081
1887,11.011
1888,10.191
1889,9.728
1890,11.208
1891,10.692
1892,10.753
1893,11.346
1894,10.848
1895,9.804
1896,10.791
1897,10.485
1898,10.552
1899,10.304
1900,11.121
1901,8.937
1902,10.940
1903,10.091
1904,10.320
1905,11.097
1906,10.868
1907,9.963
1908,10.588
1909,9.920
1910,11.017
1911,10.937
1912,11.182
1913,10.953
1914,11.493
1915,10.782
1916,11.302
1917,11.612
1918,11.626
1919,11.292
1920,10.172
1921,10.622
1922,11.177
1923,10.665
1924,10.686
1925,11.797
1926,11.040
1927,11.908
1928,10.990
1929,11.232
1930,10.860
1931,11.187
1932,9.923
1933,11.602
1934,9.981
1935,10.613
1936,11.639
1937,11.096
1938,11.558
1939,11.232
1940,11.780
1941,11.060
1942,10.096
1943,10.820
1944,10.591
1945,11.368
1946,12.193
1947,9.534
1948,11.208
1949,10.501
1950,11.171
1951,11.188
1952,11.288
1953,11.121
1954,11.096
1955,9.603
1956,12.033
1957,10.307
1958,9.760
1959,11.909
1960,10.798
1961,11.840
1962,9.854
1963,11.690
1964,9.205
1965,11.074
1966,10.877
1967,10.727
1968,10.868
1969,10.674
1970,11.741
1971,9.315
1972,10.470
1973,10.399
1974,11.293
1975,11.411
1976,11.159
1977,9.426
1978,11.981
1979,11.317
1980,10.879
1981,9.951
1982,11.539
1983,10.431
1984,12.088
1985,12.256
1986,11.735
1987,9.348
1988,10.561
1989,10.897
1990,10.802
1991,11.395
1992,9.469
1993,11.043
1994,9.130
1995,10.545
1996,11.240
1997,12.502
1998,10.559
1999,12.010
2000,12.694
2001,10.097
2002,9.600
2003,11.502
2004,9.665
2005,10.851
2006,11.448
2007,10.885
2008,11.897
2009,10.187
2010,10.827
2011,13.146
2012,12.352
2013,11.295
