date,value
1824,25.833
1825,26.252
1826,25.871
1827,26.063
1828,25.870
1829,25.788
1845,25.640
1846,26.134
1847,25.548
1848,25.583
1849,25.568
1850,25.678
1851,25.662
1852,25.617
1853,25.778
1854,25.644
1855,25.812
1856,25.785
1857,25.270
1858,25.437
1859,25.430
1860,25.633
1861,25.639
1862,25.486
1863,25.397
1864,25.632
1865,25.725
1866,25.784
1867,25.903
1868,25.831
1869,26.145
1870,25.585
1871,25.884
1872,25.949
1873,25.855
1874,25.737
1875,25.547
1876,25.831
1877,26.458
1878,26.629
1879,25.734
1880,25.193
1881,25.830
1882,25.489
1883,25.471
1884,25.353
1885,25.769
1886,25.348
1887,25.412
1888,25.953
1889,26.324
1890,25.079
1891,26.053
1892,25.633
1893,25.554
1894,25.430
1895,25.721
1896,25.826
1897,25.910
1898,25.580
1899,26.012
1900,26.048
1901,26.070
1902,26.107
1903,26.111
1904,25.474
1905,25.857
1906,25.750
1907,25.619
1908,25.586
1909,25.620
1910,25.652
1911,25.773
1912,25.870
1913,25.594
1914,25.969
1915,26.101
1916,25.691
1917,25.377
1918,25.676
1919,26.085
1920,25.800
1921,25.759
1922,25.648
1923,25.614
1924,26.065
1925,25.769
1926,26.186
1927,26.292
1928,26.171
1929,25.904
1930,26.131
1931,26.464
1932,26.260
1933,25.900
1934,25.926
1935,25.898
1936,26.057
1937,26.231
1938,26.071
1939,26.004
1940,26.670
1941,26.706
1942,26.651
1943,26.204
1944,26.244
1945,25.990
1946,26.080
1947,26.179
1948,26.139
1949,26.100
1950,25.968
1951,26.260
1952,26.555
1953,26.404
1954,26.080
1955,26.218
1956,26.132
1957,26.353
1958,26.879
1959,26.579
1960,26.556
1961,26.588
1962,26.522
1963,26.588
1964,26.252
1965,26.323
1966,26.512
1967,26.124
1968,26.084
1969,26.834
1970,26.460
1971,25.966
1972,26.278
1973,26.434
1974,26.078
1975,26.064
1976,26.109
1977,26.567
1978,26.645
1979,26.678
1980,26.679
1981,26.789
1982,26.469
1983,26.812
1984,26.256
1985,26.087
1986,26.255
1987,27.052
1988,26.733
1989,26.329
1990,26.662
1991,26.529
1992,26.499
1993,26.737
1994,26.608
1995,27.008
1996,26.573
1997,26.681
1998,27.326
1999,26.868
2000,26.627
2001,26.949
2002,26.854
2003,27.126
2004,26.801
2005,27.203
2006,27.070
2007,26.898
2008,26.827
2009,27.040
2010,27.546
2011,27.018
2012,27.028
2013,27.087
