date,value
1768,8.391
1769,15.035
1774,4.883
1775,11.948
1776,12.138
1777,10.248
1778,9.881
1779,3.490
1781,9.060
1782,15.851
1796,15.146
1797,7.981
1811,10.682
1812,12.654
1813,16.705
1814,5.809
1815,11.218
1816,7.322
1817,11.019
1818,10.866
1820,11.654
1821,11.801
1822,12.320
1823,11.908
1824,12.054
1825,12.708
1826,12.362
1827,11.502
1828,12.617
1829,12.292
1830,12.868
1831,11.819
1832,12.016
1833,12.338
1834,12.600
1835,11.247
1836,11.292
1837,11.461
1838,13.198
1839,12.150
1840,11.941
1841,11.886
1842,11.916
1843,11.290
1844,11.747
1845,12.071
1846,12.705
1847,11.623
1848,11.589
1849,12.198
1850,12.116
1851,12.473
1852,11.863
1853,12.297
1854,12.789
1855,12.480
1856,12.297
1857,11.804
1858,12.122
1859,11.922
1860,12.468
1861,12.398
1862,12.113
1863,12.144
1864,12.232
1865,12.612
1866,12.203
1867,13.835
1868,12.304
1869,11.928
1870,12.684
1871,12.546
1872,13.489
1873,12.004
1874,12.577
1875,11.857
1876,11.902
1877,12.238
1878,12.959
1879,12.766
1880,13.324
1881,12.652
1882,12.024
1883,11.974
1884,12.163
1885,12.222
1886,12.357
1887,12.321
1888,11.995
1889,11.264
1890,12.215
1891,11.892
1892,11.937
1893,12.030
1894,12.469
1895,11.999
1896,12.160
1897,12.288
1898,12.271
1899,12.361
1900,12.808
1901,12.458
1902,12.425
1903,11.879
1904,12.197
1905,12.602
1906,12.219
1907,11.899
1908,12.308
1909,12.196
1910,12.959
1911,12.443
1912,12.010
1913,12.431
1914,12.802
1915,12.342
1916,12.156
1917,11.707
1918,12.482
1919,12.444
1920,11.796
1921,13.209
1922,12.662
1923,12.385
1924,12.006
1925,12.912
1926,12.817
1927,11.163
1928,12.339
1929,12.401
1930,11.303
1931,11.763
1932,12.324
1933,12.912
1934,13.650
1935,12.404
1936,13.288
1937,12.751
1938,13.233
1939,11.716
1940,12.971
1941,12.833
1942,12.763
1943,12.746
1944,12.516
1945,12.336
1946,12.833
1947,12.658
1948,12.437
1949,13.019
1950,12.278
1951,12.206
1952,12.627
1953,13.105
1954,11.920
1955,12.463
1956,12.538
1957,11.470
1958,12.781
1959,12.530
1960,14.124
1961,12.364
1962,12.719
1963,13.257
1964,12.400
1965,12.352
1966,12.557
1967,12.613
1968,12.565
1969,12.560
1970,12.453
1971,12.280
1972,12.351
1973,12.778
1974,12.682
1975,12.104
1976,11.077
1977,11.917
1978,12.961
1979,12.901
1980,12.962
1981,11.946
1982,12.318
1983,11.468
1984,12.472
1985,12.615
1986,12.972
1987,11.950
1988,13.159
1989,12.941
1990,13.392
1991,11.881
1992,11.332
1993,12.588
1994,13.166
1995,11.607
1996,12.476
1997,11.588
1998,12.441
1999,11.878
2000,12.159
2001,13.474
2002,13.284
2003,13.468
2004,13.579
2005,12.217
2006,13.414
2007,13.889
2008,12.824
2009,12.967
2010,13.636
2011,13.402
2012,12.666
2013,15.006
