date,value
1819,17.729
1820,11.662
1831,3.233
1832,16.276
1833,16.411
1834,16.650
1835,15.505
1836,16.233
1837,15.853
1838,15.973
1839,14.207
1840,16.415
1841,15.931
1842,14.948
1843,15.445
1844,15.962
1845,16.650
1846,13.667
1847,15.136
1848,16.590
1849,16.540
1850,16.415
1851,14.997
1852,16.582
1853,16.666
1854,15.059
1855,15.519
1856,14.799
1857,15.979
1858,16.693
1859,17.399
1860,18.630
1861,16.484
1862,16.138
1863,15.103
1864,16.734
1865,16.423
1866,14.728
1867,15.609
1868,16.586
1869,15.156
1870,17.297
1871,16.921
1872,15.796
1873,15.407
1874,16.850
1875,17.225
1876,16.686
1877,17.340
1878,17.420
1879,15.681
1880,16.950
1881,14.212
1882,14.875
1883,17.344
1884,14.001
1885,16.766
1886,15.819
1887,15.773
1888,14.923
1889,15.162
1890,17.295
1891,14.994
1892,13.254
1893,15.959
1894,14.947
1895,14.142
1896,14.512
1897,16.761
1898,15.476
1899,16.298
1900,15.451
1901,13.805
1902,13.988
1903,15.969
1904,13.787
1905,16.757
1906,15.374
1907,15.703
1908,16.203
1909,14.502
1910,16.842
1911,16.067
1912,14.891
1913,15.209
1914,14.523
1915,15.072
1916,18.280
1917,14.341
1918,16.437
1919,15.372
1920,15.852
1921,14.654
1922,15.986
1923,16.898
1924,16.658
1925,16.502
1926,15.025
1927,17.542
1928,16.094
1929,16.892
1930,17.269
1931,16.907
1932,15.180
1933,16.963
1934,14.174
1935,15.288
1936,15.450
1937,16.740
1938,15.630
1939,14.287
1940,16.343
1941,15.159
1942,17.238
1943,16.421
1944,16.770
1945,16.933
1946,16.067
1947,17.846
1948,14.389
1949,15.706
1950,18.689
1951,15.599
1952,15.347
1953,15.344
1954,16.370
1955,14.821
1956,17.321
1957,15.068
1958,14.045
1959,16.715
1960,13.298
1961,16.270
1962,15.724
1963,15.003
1964,16.782
1965,15.989
1966,14.717
1967,15.739
1968,15.463
1969,15.458
1970,16.252
1971,16.648
1972,16.841
1973,14.663
1974,17.576
1975,17.780
1976,14.986
1977,18.619
1978,15.780
1979,14.849
1980,16.511
1981,13.524
1982,17.050
1983,15.390
1984,18.024
1985,14.523
1986,13.126
1987,12.846
1988,16.719
1989,16.024
1990,16.661
1991,16.056
1992,14.064
1993,16.484
1994,17.707
1995,17.005
1996,15.595
1997,18.646
1998,16.407
1999,15.207
2000,15.235
2001,15.553
2002,15.633
2003,13.158
2004,14.442
2005,17.371
2006,17.530
2007,15.318
2008,19.544
2009,15.064
2010,17.401
2011,18.406
2012,18.963
2013,16.188
