date,value
1825,23.611
1839,23.949
1840,23.143
1841,23.528
1842,23.335
1843,23.416
1844,22.905
1845,22.650
1846,23.377
1847,22.904
1848,22.929
1849,23.105
1850,23.198
1851,23.353
1852,23.219
1853,23.504
1854,23.497
1855,23.251
1856,22.919
1857,23.444
1858,23.289
1859,23.371
1860,23.219
1861,23.080
1862,18.916
1863,23.095
1864,22.961
1865,23.464
1866,23.368
1867,23.451
1868,23.609
1869,23.203
1870,23.238
1871,23.254
1872,23.484
1873,23.440
1874,23.533
1875,23.125
1876,22.953
1877,23.570
1878,23.906
1879,23.501
1880,23.194
1881,23.394
1882,23.332
1883,23.059
1884,22.796
1885,23.192
1886,23.126
1887,23.018
1888,23.546
1889,23.616
1890,23.433
1891,23.495
1892,22.871
1893,22.841
1894,23.172
1895,23.440
1896,23.445
1897,23.773
1898,23.466
1899,23.221
1900,23.518
1901,23.437
1902,23.848
1903,23.359
1904,23.316
1905,23.576
1906,23.751
1907,23.381
1908,23.293
1909,23.623
1910,23.491
1911,23.796
1912,23.668
1913,23.290
1914,23.989
1915,23.932
1916,23.155
1917,22.966
1918,23.254
1919,23.910
1920,23.686
1921,23.502
1922,23.733
1923,23.810
1924,23.754
1925,23.300
1926,23.728
1927,23.622
1928,23.556
1929,23.541
1930,23.573
1931,24.102
1932,23.370
1933,23.646
1934,23.284
1935,24.122
1936,23.676
1937,24.144
1938,23.863
1939,23.790
1940,23.910
1941,24.467
1942,24.077
1943,23.635
1944,23.937
1945,23.670
1946,24.636
1947,24.050
1948,23.964
1949,24.044
1950,23.945
1951,23.864
1952,24.187
1953,24.205
1954,24.029
1955,23.680
1956,23.664
1957,24.049
1958,24.076
1959,24.132
1960,24.144
1961,24.093
1962,23.702
1963,23.758
1964,23.954
1965,24.099
1966,24.521
1967,23.639
1968,23.903
1969,24.201
1970,23.917
1971,23.406
1972,24.026
1973,24.341
1974,23.763
1975,23.988
1976,23.626
1977,23.815
1978,23.902
1979,24.171
1980,24.172
1981,24.179
1982,24.001
1983,23.945
1984,23.756
1985,23.887
1986,23.929
1987,24.601
1988,24.127
1989,23.887
1990,24.274
1991,24.277
1992,23.851
1993,23.936
1994,24.159
1995,23.919
1996,23.750
1997,24.223
1998,24.900
1999,24.066
2000,23.982
2001,24.185
2002,24.394
2003,24.498
2004,24.057
2005,24.298
2006,24.523
2007,24.302
2008,23.784
2009,24.466
2010,24.833
2011,23.693
2012,24.704
2013,25.232
