date,value
1876,25.631
1877,26.191
1878,26.359
1879,24.302
1880,25.858
1881,26.391
1882,25.843
1883,25.793
1884,25.725
1885,25.985
1886,26.074
1887,25.579
1888,25.876
1889,26.135
1890,25.843
1891,26.151
1892,25.822
1893,26.119
1894,25.832
1895,25.719
1896,25.861
1897,26.040
1898,25.897
1899,25.930
1900,25.991
1901,25.852
1902,26.042
1903,25.648
1904,26.029
1905,25.937
1906,25.898
1907,25.649
1908,25.684
1909,26.134
1910,25.988
1911,25.845
1912,25.822
1913,25.733
1914,26.056
1915,26.426
1916,25.566
1917,25.792
1918,25.550
1919,26.077
1920,26.101
1921,25.702
1922,25.850
1923,25.833
1924,26.319
1925,26.026
1926,26.498
1927,26.108
1928,26.191
1929,26.301
1930,26.107
1931,26.259
1932,25.898
1933,25.914
1934,25.905
1935,26.122
1936,26.101
1937,25.682
1938,25.706
1939,25.923
1940,26.355
1941,26.650
1942,26.556
1943,26.184
1944,26.495
1945,26.453
1946,26.249
1947,26.374
1948,26.335
1949,26.128
1950,25.816
1951,26.388
1952,26.082
1953,26.400
1954,26.350
1955,25.957
1956,25.957
1957,25.953
1958,26.471
1959,26.130
1960,26.319
1961,26.331
1962,26.197
1963,26.269
1964,26.099
1965,25.968
1966,26.484
1967,26.268
1968,26.105
1969,26.691
1970,26.376
1971,26.028
1972,26.487
1973,26.279
1974,26.097
1975,25.695
1976,25.949
1977,26.810
1978,26.696
1979,26.585
1980,26.856
1981,26.542
1982,26.083
1983,26.245
1984,25.851
1985,25.883
1986,26.055
1987,26.612
1988,26.784
1989,25.895
1990,26.641
1991,26.594
1992,26.266
1993,26.402
1994,26.994
1995,26.578
1996,26.546
1997,26.940
1998,27.369
1999,27.354
2000,27.436
2001,27.069
2002,27.125
2003,27.358
2004,27.334
2005,27.295
2006,27.175
2007,27.311
2008,26.808
2009,27.342
2010,27.303
2011,27.288
2012,27.445
2013,28.130
