SKU,MasterProductID,CurrentStatus,ProductName,Color,Cut,Material,Gender,BrandSegment,Pillar,MerchPlannerCategory,Collection,ProductType,SizeChart,SizeChartMessaging,Price,SalePrice,Description,ActualStartDate,TargetLaunchDate,InitialSeasonLaunch,LifeCycle,InitialPairsOrdered,NikeProductID,InstanceID,FOB,APS,ProdManOnly,MainColorHex,AccentColorHex,X Ref Style
R204M123,,Pending,ROYAL SHAWL COLLAR GD PO,Vanilla Ice,,,Mens,,Apparel,Hoodies,,regular,Standard Size Chart,,68,0,,,04/01/13,13 Summer,Runout,20,,,,,FALSE,,,
737771C,,Pending,Chuck Taylor Flag,Flag Slipon,,,Kids,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal Kids,Americana,regular,Kids - Toddler,Runs a half-size large,32,0,,,04/01/13,13 Summer,Runout,197,,,,,FALSE,,,
737734C,,Pending,Chuck Taylor Flag,Star Print White/Blue Hi,,,Kids,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal Kids,Americana,regular,Kids - Toddler,Runs a half-size large,32,0,,,04/01/13,13 Summer,Runout,197,,,,,FALSE,,,
737288F,,Pending,Chuck Taylor All Star,Prism Pink,Low,Cotton,Kids,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal Kids,Beach Bag,regular,Kids - Toddler,Runs a half-size large,32,0,,,04/01/13,13 Summer,Runout,35,,,,,FALSE,,,
737263F,,Pending,Chuck Taylor All Star Street,LImestone/Blithe,Slip,Canvas,Kids,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal Kids,Street,regular,Kids - Toddler,Runs a half-size large,32,0,,,04/01/13,13 Summer,Runout,68,,,,,FALSE,,,
737257F,,Pending,Chuck Taylor All Star Easy Slip,Charcoal/Varsity red,Hi,Canvas,Kids,ALL STAR,Chuck Taylor,Chuck Taylor?-Collaborations,DC Comics,regular,Kids - Toddler,Runs a half-size large,37,0,,,04/01/13,13 Summer,Runout,200,,,,,FALSE,,,
737114F,,Pending,Chuck Taylor All Star,Lavendula,Low,Cotton,Kids,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal Kids,Beach Bag,regular,Kids - Toddler,Runs a half-size large,32,0,,,04/01/13,13 Summer,Runout,35,,,,,FALSE,,,
736636F,,Pending,Chuck Taylor All Star Street,Limestone/Varsity Red/Cyber Yellow,Mid,Canvas,Kids,ALL STAR,Chuck Taylor,Chuck Taylor?-Collaborations,DC Comics,regular,Kids - Toddler,Runs a half-size large,37,0,,,04/01/13,13 Summer,Runout,200,,,,,FALSE,,,
736635F,,Pending,Chuck Taylor All Star,Prism Pink/Carmine Pink/Pink lady,Low,Canvas,Kids,ALL STAR,Chuck Taylor,Chuck Taylor?-Collaborations,DC Comics,regular,Kids - Toddler,Runs a half-size large,37,0,,,04/01/13,13 Summer,Runout,200,,,,,FALSE,,,
731069C,,Pending,Chuck Taylor Flag,Flag Easy Slip Grey,,,Kids,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal Kids,Americana,regular,Kids - Toddler,Runs a half-size large,32,0,,,04/01/13,13 Summer,Runout,197,,,,,FALSE,,,
