"SKU","MasterProductID","Status","ProductName","Color","Cut","Material","Gender","BrandSegment","Pillar","MerchPlannerCategory","Collection","ProductType","SizeChart","SizeChartMessaging","Price","SalePrice","Description","ActualStartDate","TargetLaunchDate","InitialSeasonLaunch","LifeCycle","InitialPairsOrdered","NikeProductID","InstanceID","FOB","APS","ProdManOnly","MainColorHex","AccentColorHex","X Ref Style","Comments","CORE","destCustomizeSKU","destCustomizeMetricID"
"W40825",,"Online","1908 Premium- Large","Black",,"Suede","Men",,"Accessories","Watches",,"regular","Standard Size Chart",,85,0,,41306,41306,"13 Spring","Runout",20,,,,,0,,,,,"N",,
"W40827","MP_2000","Online","1908 Premium- Medium","White Wash",,"Canvas","Women",,"Accessories","Watches",,"regular","Standard Size Chart",,75,0,,41306,41306,"13 Spring","Runout",8,,,,,0,,,,,"N",,
"W40828","MP_2000","Online","1908 Premium- Medium","Black Wash",,"Canvas","Women",,"Accessories","Watches",,"regular","Standard Size Chart",,75,0,,41306,41306,"13 Spring","Runout",12,,,,,0,,,,,"N",,
"W38532","MP_2001","Online","1908- Remix","Black",,"Polyurethane","Unisex",,"Accessories","Watches",,"regular","Standard Size Chart",,75,0,,41169,41183,"12 Holiday","Runout",20,,,,,0,,,,,"N",,
"W38533","MP_2001","Online","1908- Remix","Glow in the Dark",,"Polyurethane","Unisex",,"Accessories","Watches",,"regular","Standard Size Chart","Runs true to size",75,,,,,"12 Holiday","Runout",,,,,,0,,,,"pending","N",,
"W38534","MP_2001","Online","1908- Remix","Pink",,"Polyurethane","Unisex",,"Accessories","Watches",,"regular","Standard Size Chart",,75,0,,41169,41183,"12 Holiday","Runout",20,,,,,0,,,,,"N",,
"W38535","MP_2001","Online","1908- Remix","Blue",,"Polyurethane","Unisex",,"Accessories","Watches",,"regular","Standard Size Chart",,75,0,,41169,41183,"12 Holiday","Runout",20,,,,,0,,,,,"N",,
9002438,,"Offline","2Pk Mn Boot Sock","Brown",,,"Men",,"Accessories","Accessories",,"regular","Standard Size Chart",,13,,,,11/01/2013,"13 Holiday","Runout",72,,,,,0,,,,"pending","N",,
9002403,,"Offline","3 Pk Men's Socks","WHITE/GREY/BLACK",,,"Men",,"Accessories","Socks",,"regular","Standard Size Chart",,9.99,0,,,41334,"13 Spring","Runout",200,,,,,0,,,,"pending","N",,
"5674001C",,"Online","3D Skulls Scoop Tee","Black",,"100% Cotton","Women",,"Apparel","Tees",,"regular","Standard Size Chart",,25,19.99,,41306,41306,"13 Spring","Runout",,,,,,0,,,"05674C",,"N",,
"140766C",,"Offline","All Star","Charcoal Grey/ Pinecone","Mid","Leather","Unisex","Cons","Sport Authentics","CONS","Leather","regular","Standard Size Chart","Runs true to size",70,,,,08/01/2013,"13 Fall","Runout",114.285714285714,,,,,0,,,,"pending","N",,
