"SKU","MasterProductID","Status","ProductName","Color","Cut","Material","Gender","BrandSegment","Pillar","MerchPlannerCategory","Collection","Sleeve","ProductType","SizeChart","SizeChartMessaging","Price","SalePrice","Description","ActualStartDate","TargetLaunchDate","InitialSeasonLaunch","LifeCycle","InitialPairsOrdered","NikeProductID","InstanceID","InspirationID","FOB","APS","MainColorHex","AccentColorHex","X Ref Style","Comments","CORE","dyoVersionProductID","dyoVersionInspirationID"
"3T079","MP_147","Online","Chuck Taylor Slip (4-7 yr)","Navy","Slip","Canvas","Kids","All Star","Sneakers","Chuck Taylor- Semi Core Kids                   ","Semi-Core",,"regular","Kids-Youth","Runs a half-size large",37.00,,,,,"11 Holiday","Runout",,,,,,,,,,"pending","N",,
"W40828","MP_2000","Online","1908 Premium- Medium","Black Wash",,"Canvas","Women",,"Accessories","Watches",,,"regular","Standard Size Chart",,75.00,0.00,,02/01/13,02/01/13,"13 Spring","Runout",12,,,,,,,,,,"N",,
"W40827","MP_2000","Online","1908 Premium- Medium","White Wash",,"Canvas","Women",,"Accessories","Watches",,,"regular","Standard Size Chart",,75.00,0.00,,02/01/13,02/01/13,"13 Spring","Runout",8,,,,,,,,,,"N",,
"SG40820","MP_2050","Online","Pedal","Neon Pink",,,"Women",,"Accessories","Sunglasses",,,"regular","Standard Size Chart",,59.00,0.00,,,03/01/13,"13 Spring","Runout",8,,,,,,,,,,"N",,
"SG40819","MP_2050","Online","Pedal","Black",,,"Women",,"Accessories","Sunglasses",,,"regular","Standard Size Chart",,59.00,0.00,,,03/01/13,"13 Spring","Runout",12,,,,,,,,,,"N",,
"R516W906","MP_2023","Online","Pembrook Skinny Denim","Treasure",,"Cotton & Spandex","Women",,"Apparel","Pants & Shorts",,,"regular","Standard Size Chart",,78.00,54.99,,08/09/11,08/09/11,"11 Fall","Runout",,,,,,,,,"R310W516",,"N",,
"R513W076","MP_2023","Online","Pembrook Skinny Denim","Salsoul",,"Cotton & Spandex","Women",,"Apparel","Pants & Shorts",,,"regular","Standard Size Chart",,78.00,54.99,,08/09/11,08/09/11,"11 Fall","Runout",,,,,,,,,"R210W513",,"N",,
"R513W005","MP_2023","Online","Pembrook Skinny Denim","Black Star",,"Cotton & Spandex","Women",,"Apparel","Pants & Shorts",,,"regular","Standard Size Chart",,78.00,54.99,,08/09/11,08/09/11,"11 Fall","Runout",,,,,,,,,"R410W513",,"N",,
"R512W905","MP_2023","Online","Pembrook Skinny Denim","Suitor",,"Cotton & Spandex","Women",,"Apparel","Pants & Shorts",,,"regular","Standard Size Chart",,78.00,54.99,,08/09/11,08/09/11,"11 Fall","Runout",,,,,,,,,"R310W512",,"N",,
"R502W071",,"Online","Copley Rocker Denim","Salsoul Destroyed",,"Cotton & Spandex","Women",,"Apparel","Pants & Shorts",,,"regular","Standard Size Chart",,78.00,0.00,,08/09/11,08/09/11,"11 Fall","Runout",,,,,,,,,"R210W502",,"N",,
"R501W010",,"Online","Copley Rocker Denim","Garment Dyed",,"Cotton & Spandex","Women",,"Apparel","Pants & Shorts",,,"regular","Standard Size Chart",,78.00,0.00,,08/09/11,08/09/11,"11 Fall","Runout",,,,,,,,,"R111W501",,"N",,
"R500W920",,"Online","Copley Rocker Denim","Surrealist",,"Cotton & Spandex","Women",,"Apparel","Pants & Shorts",,,"regular","Standard Size Chart",,78.00,0.00,,08/09/11,08/09/11,"11 Fall","Runout",,,,,,,,,"R111W500",,"N",,
"R443W202","MP_1459","Online","Women's Allen Street Hoodie","Tapestry",,"100% Cotton","Women",,"Apparel","Hoodies",,,"regular","Standard Size Chart","Runs true to size",78.00,54.99,"Playing Favorites. This garment dyed hoodie with tonal drawstrings and asymmetrical zipper plays well with others. 100% dense rugby jersey cotton. 100% Cotton. Made in China. Machine wash cold.",08/09/11,08/09/11,"11 Fall





11 


Fall","Runout",,,,,,,"1874CD",,,,"N",,
"R220W202","MP_1459","Online","Women's Allen Street Hoodie","Stone Grey",,"100% Cotton","Women",,"Apparel","Hoodies",,,"regular","Standard Size Chart","Runs true to size",78.00,,,,,"10 Fall","Runout",,,,,,,,,,"pending","N",,
