"SKU","MasterProductID","Status","ProductName","Color","Cut","Material","Gender","BrandSegment","Pillar","MerchPlannerCategory","Collection","Sleeve","ProductType","SizeChart","SizeChartMessaging","Price","MasterPrice","SalePrice","MasterSalePrice","Description","ActualStartDate","TargetLaunchDate","InitialSeasonLaunch","LifeCycle","InitialPairsOrdered","NikeProductID","InstanceID","InspirationID","FOB","APS","MainColorHex","AccentColorHex","X Ref Style","Comments","CORE","dyoVersionProductID","dyoVersionInspirationID","Sizes"
"3T079","MP_147","Online","Chuck Taylor Slip (4-7 yr)","Navy","Slip","Canvas","Kids","All Star","Sneakers","Chuck Taylor- Semi Core Kids                   ","Semi-Core",,"regular","Kids-Youth","Runs a half-size large",,37,,0,,,,"11 Holiday","Runout",,,,,,,,,,"pending","N",,,"030,040,050"
"W40828","MP_2000","Online","1908 Premium- Medium","Black Wash",,"Canvas","Women",,"Accessories","Watches",,,"regular","Standard Size Chart",,,75,,0,,02/01/13,02/01/13,"13 Spring","Runout",12,,,,,,,,,,"N",,,"One Size"
"W40827","MP_2000","Online","1908 Premium- Medium","White Wash",,"Canvas","Women",,"Accessories","Watches",,,"regular","Standard Size Chart",,,75,,0,,02/01/13,02/01/13,"13 Spring","Runout",8,,,,,,,,,,"N",,,"One Size"
"SG40820","MP_2050","Online","Pedal","Neon Pink",,,"Women",,"Accessories","Sunglasses",,,"regular","Standard Size Chart",,,59,,0,,,03/01/13,"13 Spring","Runout",8,,,,,,,,,,"N",,,"One Size"
"SG40819","MP_2050","Online","Pedal","Black",,,"Women",,"Accessories","Sunglasses",,,"regular","Standard Size Chart",,,59,,0,,,03/01/13,"13 Spring","Runout",12,,,,,,,,,,"N",,,"One Size"
"R516W906","MP_2023","Online","Pembrook Skinny Denim","Treasure",,"Cotton & Spandex","Women",,"Apparel","Pants & Shorts",,,"regular","Standard Size Chart",,,78,,54.99,,08/09/11,08/09/11,"11 Fall","Runout",,,,,,,,,"R310W516",,"N",,,"S,M,L,XL"
"R513W076","MP_2023","Online","Pembrook Skinny Denim","Salsoul",,"Cotton & Spandex","Women",,"Apparel","Pants & Shorts",,,"regular","Standard Size Chart",,,78,,54.99,,08/09/11,08/09/11,"11 Fall","Runout",,,,,,,,,"R210W513",,"N",,,"S,M,L,XL"
"R513W005","MP_2023","Online","Pembrook Skinny Denim","Black Star",,"Cotton & Spandex","Women",,"Apparel","Pants & Shorts",,,"regular","Standard Size Chart",,,78,,54.99,,08/09/11,08/09/11,"11 Fall","Runout",,,,,,,,,"R410W513",,"N",,,"S,M,L,XL"
"R512W905","MP_2023","Online","Pembrook Skinny Denim","Suitor",,"Cotton & Spandex","Women",,"Apparel","Pants & Shorts",,,"regular","Standard Size Chart",,,78,,54.99,,08/09/11,08/09/11,"11 Fall","Runout",,,,,,,,,"R310W512",,"N",,,"S,M,L,XL"
"R502W071","FMPR502W071","Online","Copley Rocker Denim","Salsoul Destroyed",,"Cotton & Spandex","Women",,"Apparel","Pants & Shorts",,,"regular","Standard Size Chart",,,78,,0,,08/09/11,08/09/11,"11 Fall","Runout",,,,,,,,,"R210W502",,"N",,,"S,M,L,XL"
