Style2,Width2,Size,Qty On Hand,Expect Date,Qty On PO for Size,Expt PO PO Num
001001C,,L,100,,0,
001001C,,M,100,,0,
001001C,,SM,100,,0,
001001C,,XL,100,,0,
001001C,,XS,100,,0,
001030C,,L,100,,0,
001030C,,M,100,,0,
001030C,,SM,100,,0,
001030C,,XL,100,,0,
001030C,,XS,100,,0,
001447C,,L,100,,0,
001447C,,M,100,,0,
001447C,,SM,100,,0,
001447C,,XL,100,,0,
001447C,,XS,100,,0,
0014996C,,L,100,,0,
0014996C,,M,100,,0,
0014996C,,SM,100,,0,
0014996C,,XL,100,,0,
0014996C,,XS,100,,0,
0015274C,,L,100,,0,
0015274C,,M,100,,0,
0015274C,,SM,100,,0,
0015274C,,XL,100,,0,
0015274C,,XS,100,,0,
0015311C,,L,100,,0,
0015311C,,M,100,,0,
0015311C,,SM,100,,0,
0015311C,,XL,100,,0,
0015311C,,XS,100,,0,
0015312C,,L,100,,0,
0015312C,,M,100,,0,
0015312C,,SM,100,,0,
0015312C,,XL,100,,0,
0015312C,,XS,100,,0,
0015313C,,L,100,,0,
0015313C,,M,100,,0,
0015313C,,SM,100,,0,
0015313C,,XL,100,,0,
0015313C,,XS,100,,0,
0015315C,,L,100,,0,
0015315C,,M,100,,0,
0015315C,,SM,100,,0,
0015315C,,XL,100,,0,
0015315C,,XS,100,,0,
0015331C,,L,100,,0,
0015331C,,M,100,,0,
0015331C,,SM,100,,0,
0015331C,,XL,100,,0,
0015331C,,XS,100,,0,
0015338C,,L,100,,0,
0015338C,,M,100,,0,
0015338C,,SM,100,,0,
0015338C,,XL,100,,0,
0015338C,,XS,100,,0,
0015339C,,L,100,,0,
0015339C,,M,100,,0,
0015339C,,SM,100,,0,
0015339C,,XL,100,,0,
0015339C,,XS,100,,0,
0015340C,,L,100,,0,
0015340C,,M,100,,0,
0015340C,,SM,100,,0,
0015340C,,XL,100,,0,
0015340C,,XS,100,,0,
0015343C,,L,100,,0,
0015343C,,M,100,,0,
0015343C,,SM,100,,0,
0015343C,,XL,100,,0,
0015343C,,XS,100,,0,
0015359C,,L,100,,0,
0015359C,,M,100,,0,
0015359C,,SM,100,,0,
0015359C,,XL,100,,0,
0015359C,,XS,100,,0,
0015392C,,L,100,,0,
0015392C,,M,100,,0,
0015392C,,SM,100,,0,
0015392C,,XL,100,,0,
0015392C,,XS,100,,0,
0015399C,,L,100,,0,
0015399C,,M,100,,0,
0015399C,,SM,100,,0,
0015399C,,XL,100,,0,
0015399C,,XS,100,,0,
0015400C,,L,100,,0,
0015400C,,M,100,,0,
0015400C,,SM,100,,0,
0015400C,,XL,100,,0,
0015400C,,XS,100,,0,
0015781C,,L,100,,0,
0015781C,,M,100,,0,
0015781C,,SM,100,,0,
0015781C,,XL,100,,0,
0015781C,,XS,100,,0,
002367C,,L,100,,0,
002367C,,M,100,,0,
002367C,,SM,100,,0,
002367C,,XL,100,,0,
002367C,,XS,100,,0,
002456C,,L,100,,0,
002456C,,M,100,,0,
002456C,,SM,100,,0,
002456C,,XL,100,,0,
002456C,,XS,100,,0,
004001C,,L,100,,0,
004001C,,M,100,,0,
004001C,,SM,100,,0,
004001C,,XL,100,,0,
004001C,,XS,100,,0,
004030C,,L,100,,0,
004030C,,M,100,,0,
004030C,,SM,100,,0,
004030C,,XL,100,,0,
004030C,,XS,100,,0,
004051C,,L,100,,0,
004051C,,M,100,,0,
004051C,,SM,100,,0,
004051C,,XL,100,,0,
004051C,,XS,100,,0,
004100C,,L,100,,0,
004100C,,M,100,,0,
004100C,,SM,100,,0,
004100C,,XL,100,,0,
004100C,,XS,100,,0,
00646002,,L,100,,0,
00646002,,M,100,,0,
00646002,,SM,100,,0,
00646002,,XL,100,,0,
00646002,,XS,100,,0,
00646105,,L,100,,0,
